fold,start,end,sharpe,trades,pairs
0,2024-01-01,2024-03-31,-0.24410752699028943,7,20
1,2024-02-01,2024-04-30,-0.13912633266744387,11,20
2,2024-03-01,2024-05-31,0.08722766652956024,11,20
3,2024-04-01,2024-06-30,-0.033445311855231384,11,20
4,2024-05-01,2024-07-31,0.06690018344455667,15,20
5,2024-06-01,2024-08-31,-0.00792024779559778,10,20
6,2024-07-01,2024-09-30,0.08467723066750424,8,20
7,2024-08-01,2024-10-31,-0.08733248854614718,14,20
8,2024-09-01,2024-11-30,0.10831881629827063,18,20
9,2024-10-01,2024-12-31,-0.02030630042531778,4,20
10,2024-11-01,2025-01-31,-0.07549561469250565,17,20
11,2024-12-01,2025-02-28,0.12406332371304432,15,20
12,2025-01-01,2025-03-31,-0.061624450689696166,8,20
13,2025-02-01,2025-04-30,0.047400678449352834,12,20
14,2025-03-01,2025-05-31,0.031644640554523276,22,20
15,2025-04-01,2025-06-30,-0.04047808679900083,20,20
16,2025-05-01,2025-07-31,0.051591354419330146,15,20
17,2025-06-01,2025-08-31,0.025175398144393728,11,20
18,2025-07-01,2025-09-30,0.008254759780321228,2,20
19,2025-08-01,2025-10-31,-0.12920812176108745,4,20
20,2025-09-01,2025-11-30,0.0544642622654023,12,20
21,2025-10-01,2025-12-31,0.11280261978934025,7,20
