fold,start,end,sharpe,trades,pairs
0,2024-01-01,2024-03-31,0.163397503472314,26,20
1,2024-02-01,2024-04-30,-0.040178048268903074,14,13
2,2024-03-01,2024-05-31,0.1521642321243346,21,20
3,2024-04-01,2024-06-30,0.04649749344378755,22,20
4,2024-05-01,2024-07-31,0.12480931481041944,26,20
5,2024-06-01,2024-08-31,0.06134151822612924,6,10
6,2024-07-01,2024-09-30,-0.00010265129235442644,29,20
7,2024-08-01,2024-10-31,0.07059264843968259,26,20
8,2024-09-01,2024-11-30,0.16481288999919053,21,16
9,2024-10-01,2024-12-31,-0.10820504423602137,19,20
10,2024-11-01,2025-01-31,0.09373355918069035,33,20
11,2024-12-01,2025-02-28,-0.027875336087953877,19,20
12,2025-01-01,2025-03-31,-0.10343728787584922,26,20
13,2025-02-01,2025-04-30,0.04469785283081351,19,18
14,2025-03-01,2025-05-31,0.12483972302391011,8,6
15,2025-04-01,2025-06-30,0.16017914976357253,16,20
16,2025-05-01,2025-07-31,-0.17080399551532388,36,20
17,2025-06-01,2025-08-31,0.2834897144416731,33,20
18,2025-07-01,2025-09-30,0.0887516410776921,17,20
19,2025-08-01,2025-10-31,0.08208818661669233,24,17
20,2025-09-01,2025-11-30,0.04131302161922185,19,20
21,2025-10-01,2025-12-31,-0.10200061368064683,17,20
