fold,start,end,sharpe,trades,pairs
0,2024-02-01,2024-04-30,-0.13414127147084826,27,20
1,2024-03-01,2024-05-31,0.0028837820829951664,21,20
2,2024-04-01,2024-06-30,0.09467759996473775,23,20
3,2024-05-01,2024-07-31,-0.06466515455256827,28,20
4,2024-06-01,2024-08-31,-0.0014258115918579363,28,20
5,2024-07-01,2024-09-30,0.0013996527122691256,22,20
6,2024-08-01,2024-10-31,0.04524977256949689,25,20
7,2024-09-01,2024-11-30,0.17594865777414614,29,20
8,2024-10-01,2024-12-31,0.18660417925764924,7,20
9,2024-11-01,2025-01-31,-0.08878427531271567,33,20
10,2024-12-01,2025-02-28,0.09088272351665892,30,20
11,2025-01-01,2025-03-31,-0.034590878439117276,14,20
12,2025-02-01,2025-04-30,0.1196664805635802,16,20
13,2025-03-01,2025-05-31,0.09851888654407401,31,20
14,2025-04-01,2025-06-30,-0.02579647323260059,27,20
15,2025-05-01,2025-07-31,0.11176772822657877,34,20
16,2025-06-01,2025-08-31,0.18493724245994267,25,20
17,2025-07-01,2025-09-30,0.24456868632563755,14,20
18,2025-08-01,2025-10-31,-0.09278976260584104,14,20
19,2025-09-01,2025-11-30,0.16696487185875236,21,20
20,2025-10-01,2025-12-31,0.2009570023761643,18,20
