fold,start,end,sharpe,trades,pairs
0,2024-03-01,2024-05-31,-0.04633188048600756,9,20
1,2024-04-01,2024-06-30,0.24850582196252197,13,20
2,2024-05-01,2024-07-31,-0.26282564032077665,15,20
3,2024-06-01,2024-08-31,0.13278340730167149,12,20
4,2024-07-01,2024-09-30,-0.06979210707155145,12,20
5,2024-08-01,2024-10-31,0.14657768253383435,18,20
6,2024-09-01,2024-11-30,-0.2169291784996097,21,20
7,2024-10-01,2024-12-31,0.0883898911470179,20,20
8,2024-11-01,2025-01-31,0.055003826831175495,12,20
9,2024-12-01,2025-02-28,-0.19941549999085167,16,20
10,2025-01-01,2025-03-31,-0.05083323614177855,18,20
11,2025-02-01,2025-04-30,0.07977072379920647,15,20
12,2025-03-01,2025-05-31,-0.0639396655093889,6,20
13,2025-04-01,2025-06-30,-0.04338935931906613,11,20
14,2025-05-01,2025-07-31,0.14502253372116808,15,20
15,2025-06-01,2025-08-31,0.009098133519230415,14,20
16,2025-07-01,2025-09-30,-0.06199782442252809,9,20
17,2025-08-01,2025-10-31,0.04859510473155571,7,20
18,2025-09-01,2025-11-30,-0.19332724112917274,17,20
19,2025-10-01,2025-12-31,0.24575793856694322,12,20
