fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,0.12940164564718476,20,20
1,2015-02-01,2015-04-30,0.07830791072347691,10,20
2,2015-03-01,2015-05-31,0.02575818791255832,19,20
3,2015-04-01,2015-06-30,-0.08882886759922173,5,20
4,2015-05-01,2015-07-31,-0.09615519107201635,13,20
5,2015-06-01,2015-08-31,-0.12842452829890508,19,20
6,2015-07-01,2015-09-30,-0.014310352194538661,11,20
7,2015-08-01,2015-10-31,-0.10854119435086462,22,20
8,2015-09-01,2015-11-30,-0.043067552324594874,10,20
9,2015-10-01,2015-12-31,0.23229321136701347,13,20
10,2015-11-01,2016-01-31,0.13241032422973842,14,20
11,2015-12-01,2016-02-29,0.1258788485552942,13,20
12,2016-01-01,2016-03-31,0.24139480028195062,9,20
13,2016-02-01,2016-04-30,0.13319824347953313,13,20
14,2016-03-01,2016-05-31,-0.18216674303022973,8,20
15,2016-04-01,2016-06-30,0.09053530668473672,17,20
16,2016-05-01,2016-07-31,0.038790855146945837,19,20
17,2016-06-01,2016-08-31,0.08460803795005561,11,20
18,2016-07-01,2016-09-30,-0.07683946096230294,11,20
19,2016-08-01,2016-10-31,0.10226377420237803,16,20
20,2016-09-01,2016-11-30,0.2123654282096086,13,20
21,2016-10-01,2016-12-31,-0.05681421522290895,14,20
22,2016-11-01,2017-01-31,-0.1467662967622821,9,20
23,2016-12-01,2017-02-28,0.09410084200505997,13,20
24,2017-01-01,2017-03-31,0.026776233616809742,15,20
25,2017-02-01,2017-04-30,-0.0042402657778270155,13,20
26,2017-03-01,2017-05-31,0.054419789690593454,16,20
27,2017-04-01,2017-06-30,0.1644213950026821,12,20
28,2017-05-01,2017-07-31,-0.19013888284338107,14,20
29,2017-06-01,2017-08-31,-0.02174264151267478,13,20
30,2017-07-01,2017-09-30,0.19644669893559757,12,20
31,2017-08-01,2017-10-31,-0.04111132653032673,16,20
32,2017-09-01,2017-11-30,0.08087771121774935,13,20
33,2017-10-01,2017-12-31,0.20598591062058463,13,20
34,2017-11-01,2018-01-31,-0.01999826184855516,27,20
35,2017-12-01,2018-02-28,0.018179276367056855,9,20
36,2018-01-01,2018-03-31,-0.0692997283597742,16,20
37,2018-02-01,2018-04-30,0.0307069378051985,20,20
38,2018-03-01,2018-05-31,0.07977225031483598,13,20
39,2018-04-01,2018-06-30,-0.047351059145225693,10,20
40,2018-05-01,2018-07-31,0.008107274858443668,7,20
41,2018-06-01,2018-08-31,-0.004226893628546479,13,20
42,2018-07-01,2018-09-30,0.10344054361920298,14,20
43,2018-08-01,2018-10-31,0.05384458314631092,10,20
44,2018-09-01,2018-11-30,-0.0570921601403769,19,20
45,2018-10-01,2018-12-31,-0.1920717639790102,8,20
46,2018-11-01,2019-01-31,-0.045464595115740705,11,20
47,2018-12-01,2019-02-28,-0.023121105297019707,7,20
48,2019-01-01,2019-03-31,0.07922307437508701,9,20
49,2019-02-01,2019-04-30,0.12126039194956555,14,20
50,2019-03-01,2019-05-31,-0.014662918858851319,17,20
51,2019-04-01,2019-06-30,-0.17864025911676862,18,20
52,2019-05-01,2019-07-31,0.10697416058165007,12,20
53,2019-06-01,2019-08-31,0.019947361165862813,9,20
54,2019-07-01,2019-09-30,0.13892437177803416,15,20
55,2019-08-01,2019-10-31,0.13107176405343424,14,20
56,2019-09-01,2019-11-30,0.028151556504242763,12,20
57,2019-10-01,2019-12-31,-0.08393947912575259,9,20
