fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,-0.12003431548495287,26,20
1,2015-02-01,2015-04-30,0.10966274805220601,16,16
2,2015-03-01,2015-05-31,0.11235922765273496,13,12
3,2015-04-01,2015-06-30,0.11904581885755236,19,20
4,2015-05-01,2015-07-31,-0.14861970033234323,19,20
5,2015-06-01,2015-08-31,-0.0872143109131879,36,20
6,2015-07-01,2015-09-30,-0.12027724697252132,20,20
7,2015-08-01,2015-10-31,0.11336872652359507,26,17
8,2015-09-01,2015-11-30,0.07642362674221473,18,13
9,2015-10-01,2015-12-31,0.12044401774349203,20,20
10,2015-11-01,2016-01-31,0.2346433507496145,18,15
11,2015-12-01,2016-02-29,0.3625301917509522,32,20
12,2016-01-01,2016-03-31,0.13049055927025008,14,20
13,2016-02-01,2016-04-30,0.09793379113249422,29,20
14,2016-03-01,2016-05-31,-0.17191976400246822,31,20
15,2016-04-01,2016-06-30,0.04136632728414208,24,20
16,2016-05-01,2016-07-31,0.061743397891163294,24,20
17,2016-06-01,2016-08-31,0.08072378103810418,18,20
18,2016-07-01,2016-09-30,-0.1465602006086071,26,20
19,2016-08-01,2016-10-31,-0.012186790863832817,28,17
20,2016-09-01,2016-11-30,0.11574524925070094,29,20
21,2016-10-01,2016-12-31,0.29956153738918084,26,20
22,2016-11-01,2017-01-31,-0.013760673896210822,29,20
23,2016-12-01,2017-02-28,-0.028103962261946436,25,20
24,2017-01-01,2017-03-31,0.09125041549762712,23,20
25,2017-02-01,2017-04-30,-0.08208033891617442,21,20
26,2017-03-01,2017-05-31,0.06479666087470036,35,20
27,2017-04-01,2017-06-30,0.08434159423643019,15,13
28,2017-05-01,2017-07-31,-0.037035223574729284,35,20
29,2017-06-01,2017-08-31,0.11614484837895286,19,10
30,2017-07-01,2017-09-30,0.10370512398362408,17,14
31,2017-08-01,2017-10-31,-0.29534073038501635,14,13
32,2017-09-01,2017-11-30,0.05410371337091958,25,20
33,2017-10-01,2017-12-31,-0.34436754323529667,14,20
34,2017-11-01,2018-01-31,-0.09244538285467145,29,20
35,2017-12-01,2018-02-28,-0.05965624251216994,16,16
36,2018-01-01,2018-03-31,0.10702270045699783,19,20
37,2018-02-01,2018-04-30,0.05253463785892443,27,20
38,2018-03-01,2018-05-31,-0.037757918510076614,27,20
39,2018-04-01,2018-06-30,-0.18160451082581877,21,20
40,2018-05-01,2018-07-31,-0.17622730197596284,29,20
41,2018-06-01,2018-08-31,-0.10246542141024922,27,20
42,2018-07-01,2018-09-30,-0.05541874786901678,30,20
43,2018-08-01,2018-10-31,-0.08116977994964854,22,20
44,2018-09-01,2018-11-30,-0.01880630583307854,32,20
45,2018-10-01,2018-12-31,0.19967455690351202,19,19
46,2018-11-01,2019-01-31,0.08713103135732969,22,20
47,2018-12-01,2019-02-28,-0.07981246282818535,19,18
48,2019-01-01,2019-03-31,-0.10520238377499877,26,20
49,2019-02-01,2019-04-30,-0.10285682952241806,32,20
50,2019-03-01,2019-05-31,-0.209613825115213,37,20
51,2019-04-01,2019-06-30,-0.12601564434915014,34,20
52,2019-05-01,2019-07-31,0.08728460062716603,14,12
53,2019-06-01,2019-08-31,0.25367282676681774,12,9
54,2019-07-01,2019-09-30,-0.1066444035787823,24,17
55,2019-08-01,2019-10-31,-0.08054369265618348,28,20
56,2019-09-01,2019-11-30,-0.10030283842448226,22,20
57,2019-10-01,2019-12-31,-0.4196108554696073,22,20
