fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,-0.16673375133916177,20,20
1,2015-04-01,2015-06-30,-0.0011962743439270424,25,20
2,2015-07-01,2015-09-30,-0.132278062075972,27,20
3,2015-10-01,2015-12-31,0.07280199011649412,25,20
4,2016-01-01,2016-03-31,-0.16201862757234695,33,20
5,2016-04-01,2016-06-30,-0.07854850635287465,34,20
6,2016-07-01,2016-09-30,-0.14809554569550504,26,20
7,2016-10-01,2016-12-31,0.09552951995237415,25,20
8,2017-01-01,2017-03-31,0.07732349143520077,29,20
9,2017-04-01,2017-06-30,0.13240242931842974,11,20
10,2017-07-01,2017-09-30,-0.20152651545597258,22,20
11,2017-10-01,2017-12-31,0.23574278970845033,29,20
12,2018-01-01,2018-03-31,-0.2185725706768434,30,20
13,2018-04-01,2018-06-30,-0.1996496150170569,20,20
14,2018-07-01,2018-09-30,0.08861517715497641,32,20
15,2018-10-01,2018-12-31,0.02576725650033327,20,20
16,2019-01-01,2019-03-31,-0.11810765537181199,26,20
17,2019-04-01,2019-06-30,-0.12426456442966828,27,20
18,2019-07-01,2019-09-30,0.14727683511803222,31,20
19,2019-10-01,2019-12-31,0.06062448327662799,19,20
