fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,-0.11147752574958893,6,9
1,2015-02-01,2015-04-30,-0.07053910329087712,4,9
2,2015-03-01,2015-05-31,0.2334032848509285,4,8
3,2015-04-01,2015-06-30,0.07094627768300178,11,12
4,2015-05-01,2015-07-31,-0.1616232745819545,10,10
5,2015-06-01,2015-08-31,-0.03954160480514387,10,10
6,2015-07-01,2015-09-30,-0.036903911031853545,3,6
7,2015-08-01,2015-10-31,0.20473890954659854,4,7
8,2015-09-01,2015-11-30,0.15962148955924846,5,5
9,2015-10-01,2015-12-31,0.0,0,4
10,2015-11-01,2016-01-31,0.1725339433714817,4,7
11,2015-12-01,2016-02-29,0.14811432365149427,4,4
12,2016-01-01,2016-03-31,-0.03309147658188588,5,6
13,2016-02-01,2016-04-30,-0.0655418042030549,2,7
14,2016-03-01,2016-05-31,0.09464759116092268,6,6
15,2016-04-01,2016-06-30,0.03888575422406926,2,3
16,2016-05-01,2016-07-31,0.0,0,2
17,2016-06-01,2016-08-31,-0.019043086618204846,2,3
18,2016-07-01,2016-09-30,-0.03472648165027668,3,4
19,2016-08-01,2016-10-31,-0.015429200436430212,3,4
20,2016-09-01,2016-11-30,-0.055025987805793965,5,7
21,2016-10-01,2016-12-31,-0.17355037686718394,13,12
22,2016-11-01,2017-01-31,-0.2285651579062993,3,6
23,2016-12-01,2017-02-28,0.07984588764184332,4,2
24,2017-01-01,2017-03-31,-0.07173577796942236,5,7
25,2017-02-01,2017-04-30,-0.06493119197928904,3,7
26,2017-03-01,2017-05-31,0.10185014167797347,4,6
27,2017-04-01,2017-06-30,0.16948120714630557,4,9
28,2017-05-01,2017-07-31,0.19686138513510973,5,8
29,2017-06-01,2017-08-31,0.016365308208457805,3,8
30,2017-07-01,2017-09-30,-0.15845260610893933,3,7
31,2017-08-01,2017-10-31,-0.16439014669684068,4,10
32,2017-09-01,2017-11-30,0.12700012700019053,1,2
33,2017-10-01,2017-12-31,-0.013788551379162729,1,5
34,2017-11-01,2018-01-31,-0.10482462073081154,6,3
35,2017-12-01,2018-02-28,0.1647555502145636,1,2
36,2018-01-01,2018-03-31,0.14423617867004032,4,6
37,2018-02-01,2018-04-30,0.28791482595540935,3,5
38,2018-03-01,2018-05-31,0.07065326025710592,5,4
39,2018-04-01,2018-06-30,-0.002637028398081369,4,5
40,2018-05-01,2018-07-31,0.11063274581430517,4,6
41,2018-06-01,2018-08-31,-0.14994973590560698,1,1
42,2018-07-01,2018-09-30,-0.06553660632932755,4,3
43,2018-08-01,2018-10-31,0.125,1,2
44,2018-09-01,2018-11-30,0.10060541765036907,2,2
45,2018-10-01,2018-12-31,-0.09599682851748417,4,5
46,2018-11-01,2019-01-31,0.09829971318748128,2,3
47,2018-12-01,2019-02-28,0.09235557770196377,3,6
48,2019-01-01,2019-03-31,-0.08402545177388324,10,10
49,2019-02-01,2019-04-30,0.1387266914170563,3,8
50,2019-03-01,2019-05-31,0.2437720723452835,2,3
51,2019-04-01,2019-06-30,0.25777473334908885,3,3
52,2019-05-01,2019-07-31,0.07059965233325799,2,3
53,2019-06-01,2019-08-31,-0.12598815766974242,1,2
54,2019-07-01,2019-09-30,-0.04486455678419222,4,3
55,2019-08-01,2019-10-31,0.13861288049636938,2,6
56,2019-09-01,2019-11-30,0.11280676521593266,3,3
57,2019-10-01,2019-12-31,-0.09306294915844263,6,6
