fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,0.0030681789899232813,12,9
1,2015-02-01,2015-04-30,-0.0559574447798912,9,9
2,2015-03-01,2015-05-31,0.10130475956989675,7,8
3,2015-04-01,2015-06-30,0.04693201066138924,15,12
4,2015-05-01,2015-07-31,-0.01011941289671043,14,10
5,2015-06-01,2015-08-31,-0.09498200699362429,16,10
6,2015-07-01,2015-09-30,0.05268729121509778,9,6
7,2015-08-01,2015-10-31,-0.026662340940526004,13,7
8,2015-09-01,2015-11-30,0.0431439740861826,9,5
9,2015-10-01,2015-12-31,-0.14816108902228645,2,4
10,2015-11-01,2016-01-31,0.035887117913927215,10,7
11,2015-12-01,2016-02-29,0.08267315035090761,5,4
12,2016-01-01,2016-03-31,-0.1764621628494648,7,6
13,2016-02-01,2016-04-30,-0.2040260794756011,8,7
14,2016-03-01,2016-05-31,-0.0645258692051918,12,6
15,2016-04-01,2016-06-30,-0.11277167093910181,5,3
16,2016-05-01,2016-07-31,-0.1825412136175612,2,2
17,2016-06-01,2016-08-31,0.05578751311198362,4,3
18,2016-07-01,2016-09-30,-0.1362370119624997,7,4
19,2016-08-01,2016-10-31,-0.024526888167300552,7,4
20,2016-09-01,2016-11-30,-0.013314052259212242,7,7
21,2016-10-01,2016-12-31,-0.07484828501493176,21,12
22,2016-11-01,2017-01-31,-0.19021230364239802,6,6
23,2016-12-01,2017-02-28,-0.0063235064314517515,5,2
24,2017-01-01,2017-03-31,-0.2580920037823235,11,7
25,2017-02-01,2017-04-30,-0.1097006325796761,7,7
26,2017-03-01,2017-05-31,0.03300947218116339,5,6
27,2017-04-01,2017-06-30,-0.004575558944554769,11,9
28,2017-05-01,2017-07-31,0.17887232872106312,7,8
29,2017-06-01,2017-08-31,-0.14000129229016178,7,8
30,2017-07-01,2017-09-30,-0.21002922297737908,6,7
31,2017-08-01,2017-10-31,-0.029963260091494713,12,10
32,2017-09-01,2017-11-30,0.013270376472627065,4,2
33,2017-10-01,2017-12-31,-0.20361725546811751,4,5
34,2017-11-01,2018-01-31,-0.14153054151470182,9,3
35,2017-12-01,2018-02-28,0.1647555502145636,1,2
36,2018-01-01,2018-03-31,-0.12945386654337648,9,6
37,2018-02-01,2018-04-30,-0.05103428277573739,8,5
38,2018-03-01,2018-05-31,0.0002697807787630148,8,4
39,2018-04-01,2018-06-30,0.034758549198884305,8,5
40,2018-05-01,2018-07-31,0.09897796056488811,7,6
41,2018-06-01,2018-08-31,-0.0985773957510044,2,1
42,2018-07-01,2018-09-30,0.055795094733665576,7,3
43,2018-08-01,2018-10-31,0.2073803836415997,3,2
44,2018-09-01,2018-11-30,0.23632634157011947,5,2
45,2018-10-01,2018-12-31,0.04217119469414459,6,5
46,2018-11-01,2019-01-31,0.06946368703492416,3,3
47,2018-12-01,2019-02-28,0.07091733617614364,8,6
48,2019-01-01,2019-03-31,-0.1838583503503784,18,10
49,2019-02-01,2019-04-30,-0.062483688367350576,9,8
50,2019-03-01,2019-05-31,-0.003461502521062276,3,3
51,2019-04-01,2019-06-30,0.05511766660315813,5,3
52,2019-05-01,2019-07-31,0.02057560646202114,4,3
53,2019-06-01,2019-08-31,-0.12598815766974242,1,2
54,2019-07-01,2019-09-30,-0.04486455678419222,4,3
55,2019-08-01,2019-10-31,0.024070401851123097,4,6
56,2019-09-01,2019-11-30,0.14730609262525957,4,3
57,2019-10-01,2019-12-31,-0.11028326328102024,8,6
