fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,0.1711849808386628,25,20
1,2015-04-01,2015-06-30,-0.11584493467647676,8,20
2,2015-07-01,2015-09-30,-0.10333279144823294,7,20
3,2015-10-01,2015-12-31,-0.08953656263330649,14,20
4,2016-01-01,2016-03-31,-0.12474498335107188,13,20
5,2016-04-01,2016-06-30,0.11280249269594335,20,20
6,2016-07-01,2016-09-30,0.12681986191709138,17,20
7,2016-10-01,2016-12-31,-0.20058241235372928,10,20
8,2017-01-01,2017-03-31,-0.15426418348500437,16,20
9,2017-04-01,2017-06-30,0.01949610730105859,15,20
10,2017-07-01,2017-09-30,0.0984996510650051,10,20
11,2017-10-01,2017-12-31,-0.02924208451777344,9,20
12,2018-01-01,2018-03-31,-0.177258090820961,12,20
13,2018-04-01,2018-06-30,-0.040149226464514014,16,20
14,2018-07-01,2018-09-30,0.13705898860796797,14,20
15,2018-10-01,2018-12-31,0.103048405006263,14,20
16,2019-01-01,2019-03-31,-0.090585589006598,13,20
17,2019-04-01,2019-06-30,0.14565714740541114,13,20
18,2019-07-01,2019-09-30,0.26560284749721663,10,20
19,2019-10-01,2019-12-31,0.0678524670207507,4,20
