date,pnl,total_capital,daily_return
2015-01-02,0.0,1000000.0,0.0
2015-01-05,0.0,1000000.0,0.0
2015-01-06,-9039.587347030809,1000000.0,-0.009039587347030809
2015-01-07,-374.63915634178903,990960.4126529692,-0.00037805663229151243
2015-01-08,-9337.57254791275,990585.7734966275,-0.00942631400302918
2015-01-09,-6087.348600387568,981248.2009487147,-0.006203678737450979
2015-01-12,-10620.610942840436,975160.8523483272,-0.010891137515687266
2015-01-13,1143.1421775819222,964540.2414054867,0.0011851679468719567
2015-01-14,1537.4645652771605,965683.3835830686,0.0015921000520611184
2015-01-15,580.9125728607793,967220.8481483458,0.0006005997223621495
2015-01-16,1747.2740058901234,967801.7607212067,0.0018054048636861886
2015-01-20,6127.707757949904,969549.0347270968,0.006320162816390917
2015-01-21,-3122.096567153888,975676.7424850467,-0.00319992927083812
2015-01-22,0.0,972554.6459178928,0.0
2015-01-23,-6153.5253829955955,972554.6459178928,-0.006327176995990724
2015-01-26,-111.72451019284587,966401.1205348972,-0.00011560883759220708
2015-01-27,-44.703826904318746,966289.3960247043,-4.6263393853052115e-05
2015-01-28,2576.3042068482428,966244.6921978,0.0026663061930909393
2015-01-29,704.537017822296,968820.9964046483,0.0007272107235876125
2015-01-30,3099.586006164477,969525.5334224706,0.0031970132805299034
2015-02-02,2829.8841552734484,1972625.119428635,0.001434577775270912
2015-02-03,-5424.5133132934425,1975455.0035839085,-0.0027459564016655332
2015-02-04,4342.729255676293,1970030.490270615,0.002204396976150227
2015-02-05,-1247.986618041973,1974373.2195262914,-0.0006320925576276813
2015-02-06,-144.4582138061152,1973125.2329082494,-7.321289667620024e-05
2015-02-09,-4437.205017089825,1972980.7746944432,-0.002248985430573705
2015-02-10,0.0,1968543.5696773534,0.0
2015-02-11,0.0,1968543.5696773534,0.0
2015-02-12,0.0,1968543.5696773534,0.0
2015-02-13,0.0,1968543.5696773534,0.0
2015-02-17,0.0,1968543.5696773534,0.0
2015-02-18,0.0,1968543.5696773534,0.0
2015-02-19,0.0,1968543.5696773534,0.0
2015-02-20,0.0,1968543.5696773534,0.0
2015-02-23,0.0,1968543.5696773534,0.0
2015-02-24,3254.99353027354,1968543.5696773534,0.0016535034227396028
2015-02-25,8674.66213226323,1971798.5632076268,0.004399365277024905
2015-02-26,5688.923995971671,1980473.22533989,0.0028725074003438417
2015-02-27,-3473.664321899437,1986162.1493358617,-0.0017489328970753824
2015-03-02,355.8489074707226,2982688.4850139623,0.00011930475115273624
2015-03-03,1240.1891479491728,2983044.333921433,0.00041574613352086937
2015-03-04,-855.1964569091112,2984284.523069382,-0.00028656666289631416
2015-03-05,3575.804527282732,2983429.326612473,0.0011985551309649657
2015-03-06,-3168.2874298094866,2987005.1311397557,-0.0010606903204751306
2015-03-09,3848.4529113771105,2983836.843709946,0.0012897665364947188
2015-03-10,-3418.629165649425,2987685.296621323,-0.001144240047476032
2015-03-11,-2920.4606361389615,2984266.6674556737,-0.0009786191924426406
2015-03-12,882.8364124298114,2981346.206819535,0.0002961200582510043
2015-03-13,-2804.7714900970773,2982229.0432319646,-0.0009404949953332327
2015-03-16,-1984.9689712524819,2979424.2717418675,-0.0006662256832901495
2015-03-17,-200.82765388495568,2977439.302770615,-6.744978938716845e-05
2015-03-18,-1416.6538867950733,2977238.4751167297,-0.00047582815371870066
2015-03-19,5004.007286071682,2975821.8212299347,0.0016815547390547326
2015-03-20,-3682.681411743164,2980825.8285160065,-0.0012354567571553061
2015-03-23,-1303.3094787597477,2977143.1471042633,-0.0004377718552187924
