date,pair,mark_pnl,target_notional,fold_id
2015-01-05,BSX-CTSH,0.0,250000.0,0
2015-01-05,KDP-UNP,0.0,250000.0,0
2015-01-06,BSX-CTSH,-3573.8789863586426,250000.0,0
2015-01-06,EXPE-IQV,0.0,250000.0,0
2015-01-06,GPC-PNW,0.0,250000.0,0
2015-01-06,BR-ROP,0.0,250000.0,0
2015-01-07,BSX-CTSH,-4362.920333862305,250000.0,0
2015-01-07,EXPE-IQV,3066.0033416748047,250000.0,0
2015-01-07,GPC-PNW,-2142.2102127075195,250000.0,0
2015-01-07,BR-ROP,-509.3909378051758,250000.0,0
2015-01-07,CB-SYY,0.0,250000.0,0
2015-01-08,BSX-CTSH,-13362.92823600769,250000.0,0
2015-01-08,GPC-PNW,-2060.2001037597656,250000.0,0
2015-01-08,BR-ROP,-1663.6336975097656,250000.0,0
2015-01-08,CB-SYY,-1508.6891193389893,250000.0,0
2015-01-09,BSX-CTSH,-13810.354753494263,250000.0,0
2015-01-09,GPC-PNW,-2792.425319671631,250000.0,0
2015-01-09,BR-ROP,-3149.0304985046387,250000.0,0
2015-01-12,BSX-CTSH,-11807.654253005981,250000.0,0
2015-01-12,BR-ROP,-6698.372882843018,250000.0,0
2015-01-13,BSX-CTSH,-9682.696279525757,250000.0,0
2015-01-13,BR-ROP,-7680.188678741455,250000.0,0
2015-01-14,BSX-CTSH,-8440.921606063843,250000.0,0
2015-01-14,BR-ROP,-7384.4987869262695,250000.0,0
2015-01-15,BSX-CTSH,-6116.607929229736,250000.0,0
2015-01-16,BSX-CTSH,-4369.333923339844,250000.0,0
2015-01-20,BSX-CTSH,1758.3738346099854,250000.0,0
2015-01-22,STZ-ULTA,0.0,250000.0,0
2015-01-23,STZ-ULTA,-6153.5253829956055,250000.0,0
2015-01-26,STZ-ULTA,-6265.249893188477,250000.0,0
2015-01-27,STZ-ULTA,-6309.953720092773,250000.0,0
2015-01-28,STZ-ULTA,-3733.649513244629,250000.0,0
2015-01-29,STZ-ULTA,-3029.1124954223633,250000.0,0
2015-01-30,STZ-ULTA,70.4735107421875,250000.0,0
2015-02-02,STZ-ULTA,2900.357666015625,250000.0,0
2015-02-03,STZ-ULTA,-2524.155647277832,250000.0,0
2015-02-04,STZ-ULTA,1818.5736083984375,250000.0,0
2015-02-05,STZ-ULTA,570.5869903564453,250000.0,0
2015-02-06,STZ-ULTA,426.12877655029297,250000.0,0
2015-02-23,STZ-UNH,0.0,250000.0,0
2015-02-24,STZ-UNH,3254.9935302734375,250000.0,0
2015-02-25,STZ-UNH,3796.269500732422,250000.0,0
2015-02-26,STZ-UNH,7163.2388916015625,250000.0,0
2015-02-27,STZ-UNH,5592.651641845703,250000.0,0
2015-03-02,STZ-UNH,5882.927215576172,250000.0,0
2015-03-03,ARE-STE,0.0,250000.0,0
2015-03-04,ARE-STE,-99.48594665527344,250000.0,0
2015-03-05,ARE-STE,3013.189384460449,250000.0,0
2015-03-06,ARE-STE,2511.5922775268555,250000.0,0
2015-03-25,BSX-CTSH,0.0,250000.0,0
2015-02-24,AMT-CHRW,0.0,250000.0,1
2015-02-25,FIS-MTD,0.0,250000.0,1
2015-02-26,FIS-MTD,2321.954605102539,250000.0,1
2015-02-27,FIS-MTD,418.8775329589844,250000.0,1
2015-03-02,FIS-MTD,484.45086669921875,250000.0,1
2015-03-03,FIS-MTD,-301.56658935546875,250000.0,1
2015-03-04,FIS-MTD,-1057.277099609375,250000.0,1
2015-03-05,FIS-MTD,-594.1479034423828,250000.0,1
2015-03-06,FIS-MTD,-3260.8382263183594,250000.0,1
2015-03-09,FIS-MTD,-631.6143798828125,250000.0,1
2015-03-10,FIS-MTD,-3719.149444580078,250000.0,1
2015-03-16,AMT-CHRW,0.0,250000.0,1
2015-03-18,DIS-NDAQ,0.0,250000.0,1
2015-03-26,SNA-ZTS,0.0,250000.0,1
2015-03-26,CNP-TRGP,0.0,250000.0,1
2015-03-27,SNA-ZTS,-1926.4367294311523,250000.0,1
2015-03-27,CNP-TRGP,1453.990333557129,250000.0,1
2015-03-30,SNA-ZTS,-1264.7455444335938,250000.0,1
2015-03-30,CNP-TRGP,-4205.39933013916,250000.0,1
2015-03-31,CNP-TRGP,-3519.4286575317383,250000.0,1
2015-04-01,CNP-TRGP,3537.7316818237305,250000.0,1
2015-04-01,APD-FDS,0.0,250000.0,1
