fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,-0.06938206395648612,10,20
1,2015-04-01,2015-06-30,0.16541839951556261,14,20
2,2015-07-01,2015-09-30,0.062057316268956685,15,20
3,2015-10-01,2015-12-31,0.12727365284382133,16,20
4,2016-01-01,2016-03-31,0.11753916432915829,10,20
5,2016-04-01,2016-06-30,0.2155209365414351,18,20
6,2016-07-01,2016-09-30,-0.19160518279037714,21,20
7,2016-10-01,2016-12-31,0.1418272267894167,16,20
8,2017-01-01,2017-03-31,-0.0034385792857299933,12,20
9,2017-04-01,2017-06-30,-0.2749951841406145,6,20
10,2017-07-01,2017-09-30,0.03008447656769518,5,20
11,2017-10-01,2017-12-31,0.03042749966788198,8,20
12,2018-01-01,2018-03-31,0.1015223704154114,18,20
13,2018-04-01,2018-06-30,0.13232303570597317,16,20
14,2018-07-01,2018-09-30,0.19371162276824236,12,20
15,2018-10-01,2018-12-31,-0.055460798050238985,17,20
16,2019-01-01,2019-03-31,0.454650590238326,9,20
17,2019-04-01,2019-06-30,0.18402934794563774,17,20
18,2019-07-01,2019-09-30,0.16094405556541913,10,20
19,2019-10-01,2019-12-31,0.05717568598715524,6,20
