date,pnl,total_capital,daily_return
2024-03-01,0.0,1000000.0,0.0
2024-03-04,0.0,1000000.0,0.0
2024-03-05,-3100.777374267616,1000000.0,-0.003100777374267616
2024-03-06,-2147.4438476562236,996899.2226257324,-0.002154123304460076
2024-03-07,2151.3645019531486,994751.7787780762,0.0021627149082315005
2024-03-08,3141.3520812987226,996903.1432800293,0.0031511106193957694
2024-03-11,3124.0686187744923,1000044.495361328,0.0031239296183973586
2024-03-12,-2565.138305664097,1003168.5639801025,-0.0025570361729506663
2024-03-13,-418.5600738525408,1000603.4256744385,-0.00041830765627293154
2024-03-14,146.02180480957855,1000184.8656005859,0.00014599481539034898
2024-03-15,-9710.82910156253,1000330.8874053955,-0.009707616973369637
2024-03-18,-889.5177612304606,990620.058303833,-0.0008979403897327876
2024-03-19,6381.311645507862,989730.5405426025,0.006447524234231894
2024-03-20,-1129.4100952149488,996111.8521881104,-0.0011338185493265929
2024-03-21,-1049.1318054199348,994982.4420928954,-0.0010544224310261585
2024-03-22,-28.08496093745056,993933.3102874755,-2.8256383649449823e-05
2024-03-25,-1347.3104934692262,993905.225326538,-0.0013555724018118331
2024-03-26,-5965.4914855956795,992557.9148330687,-0.006010220055117865
2024-03-27,4352.956733703429,986592.423347473,0.004412112469842411
2024-03-28,1907.1132736205486,990945.3800811764,0.0019245392450029097
2024-04-01,-2452.522102355988,992852.493354797,-0.002470177713981503
2024-04-02,-4987.310928344844,990399.971252441,-0.005035653345221713
2024-04-03,-4170.498313904026,985412.6603240962,-0.004232235368817339
2024-04-04,-3117.395050048582,981242.1620101922,-0.0031769884853523056
2024-04-05,-6163.346561431916,978124.7669601436,-0.006301186484201415
2024-04-08,3580.6697540282335,971961.4203987117,0.0036839628393474655
2024-04-09,6412.895481109575,975542.0901527399,0.006573673802332314
2024-04-10,-13670.22825241083,981954.9856338495,-0.013921440852593392
2024-04-11,-6440.363159179673,968284.7573814387,-0.006651311104593383
2024-04-12,-612.0134658810954,961844.394222259,-0.0006362915556377134
2024-04-15,5818.022296905545,961232.3807563779,0.006052669898955587
2024-04-16,-2522.491333007713,967050.4030532835,-0.002608438324459006
2024-04-17,1482.111373901559,964527.9117202758,0.0015366184388154736
2024-04-18,6773.726806640637,966010.0230941774,0.007012066795067052
2024-04-19,11544.646640777573,972783.749900818,0.01186763927949519
2024-04-22,-2831.8609123232554,984328.3965415956,-0.0028769472894136783
2024-04-23,5544.554248809771,981496.5356292723,0.005649081833238423
2024-04-24,-6617.919433593768,987041.0898780822,-0.006704806417340947
2024-04-25,0.0,980423.1704444884,0.0
2024-04-26,1788.4771118165127,980423.1704444884,0.00182418894792713
2024-04-29,2441.943115234327,982211.6475563049,0.0024861679469081466
2024-04-30,3050.094177246043,984653.5906715393,0.0030976317012827437
2024-05-01,0.0,987703.6848487854,0.0
2024-05-02,0.0,987703.6848487854,0.0
2024-05-03,-5324.562873840326,987703.6848487854,-0.005390850470154418
