fold,start,end,sharpe,trades,pairs
0,2024-05-01,2024-07-31,0.04226288579005946,17,16
1,2024-06-01,2024-08-31,0.10620142113321471,18,20
2,2024-07-01,2024-09-30,-0.03662273175293541,20,18
3,2024-08-01,2024-10-31,0.03677241004814016,20,20
4,2024-09-01,2024-11-30,0.13687486583125053,30,19
5,2024-10-01,2024-12-31,0.14280243707663134,20,17
6,2024-11-01,2025-01-31,0.2699842342177403,22,18
7,2024-12-01,2025-02-28,0.12555505987852456,19,13
8,2025-01-01,2025-03-31,-0.0040937112579513425,25,19
9,2025-02-01,2025-04-30,-0.22287669156455875,22,20
10,2025-03-01,2025-05-31,0.04895744563881179,27,20
11,2025-04-01,2025-06-30,0.07401260244850356,30,20
12,2025-05-01,2025-07-31,-0.09390142248675437,24,20
13,2025-06-01,2025-08-31,0.06389985463689168,30,20
14,2025-07-01,2025-09-30,0.07710147533073754,20,20
15,2025-08-01,2025-10-31,-0.044657549625001965,16,20
16,2025-09-01,2025-11-30,0.09331312807678095,22,20
17,2025-10-01,2025-12-31,0.17576067926295907,15,20
