A,B,mech,recent_sh,recent_ret,recent_vol,recent_mdd,hist_sh,hist_ret,hist_vol,hist_mdd,joined_sh,joined_ret,rejected_entries,score,recent_rank,hist_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide3m_bd7,B,0.45757537348518235,0.06377174091205284,0.12866846369213222,-0.1677758580820883,-0.9424663527581468,-0.0743621419251369,0.07867642982880481,-0.28595069012183805,-0.40623183172671407,-0.04093688242590905,0,-0.9424663527581468,303,487,395.0,487,441,481
core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide1m_noscreen,B,0.7467299037463543,0.07820732393184256,0.10881230582508888,-0.11570546596865301,-0.33256271741896504,-0.029078711280768776,0.07925386196781345,-0.25144312071986885,0.026790388599232814,-0.0015130759944705474,0,-0.33256271741896504,173,385,279.0,371,307,320
core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide1m_bd7,B,0.3659080230164081,0.03576738775160808,0.10481144702279382,-0.14382477929893933,-0.6493289882943539,-0.04694105537345683,0.07021734064586725,-0.249572963596303,-0.28967268999391355,-0.026102652013878735,0,-0.6493289882943539,340,464,402.0,462,451,456
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide3m_noscreen,B,0.5545257572454332,0.08725594757890003,0.14995783072147284,-0.16533028774152306,-0.49608529435634324,-0.14197719463485892,0.23206755767025414,-0.5228140331302205,-0.2836207092196832,-0.08687584550056027,0,-0.49608529435634324,252,437,344.5,429,398,455
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide3m_bd7,B,0.290402820974161,0.04357922902956,0.13266350693702372,-0.15628315874771354,-0.48439054840138046,-0.13817247881984995,0.22908085858583163,-0.4983891743777453,-0.3372261099322505,-0.0948500296479993,0,-0.48439054840138046,371,436,403.5,428,454,472
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_noscreen,B,0.745682755079259,0.08875448359555875,0.11992750260329683,-0.13282109231082811,-0.6740731371247968,-0.05034814299001167,0.07269551335217478,-0.2501403083541429,-0.13584543811670902,-0.015418673705141606,0,-0.6740731371247968,174,466,320.0,464,376,398
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_bd7,B,0.079651389168361,0.014785934844840143,0.11375058468825495,-0.15366242549971282,-0.3869012263937886,-0.030561938586360804,0.07315627345123941,-0.1678297091933002,-0.2002152504019294,-0.019283140698251232,0,-0.3869012263937886,441,412,426.5,400,477,428
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_noscreen,B,0.49225483707163553,0.05633944001636364,0.11616991708140986,-0.14130804596029256,-0.33341888779316275,-0.03499381256084,0.09367250872720306,-0.2874705986025773,-0.07446047866468498,-0.011987888678047232,0,-0.33341888779316275,286,387,336.5,373,392,365
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_bd7,B,0.23271644146896497,0.03516535443904099,0.10577608310164341,-0.14652312662330083,-0.1733805338178611,-0.01534458860323562,0.07358302144167393,-0.1830881457591894,-0.02225583300924748,-0.0037197281380877633,0,-0.1733805338178611,392,313,352.5,297,404,344
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_noscreen,B,0.3504217461586169,0.04262781616771334,0.1199137055422508,-0.17809263674964143,0.055088378696119086,0.0013580910661377121,0.07238218873706398,-0.209989584626044,0.1664635009125099,0.011531672373979961,0,0.055088378696119086,347,212,279.5,186,308,238
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_bd7,B,0.17461445514450175,0.02955232212532628,0.1061409007122029,-0.15351759150796535,-0.6507501063731719,-0.042528770173777763,0.06365063059765937,-0.22583677614706343,-0.3140716115705246,-0.02497715934607536,0,-0.6507501063731719,415,465,440.0,463,486,464
core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_noscreen,B,-0.13028016057476588,-0.02086886715108085,0.1272974733024199,-0.19375724465744984,-0.30092709612767526,-0.037912322757515104,0.10888904495135054,-0.2623524810069403,-0.25795296601766826,-0.03505999114515399,0,-0.30092709612767526,469,369,419.0,355,469,446
core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_bd7,B,-0.29396100657807506,-0.03282975460049971,0.1239891590531292,-0.18227592015140537,-0.08547571380664155,-0.008012968558029798,0.06743842698626698,-0.1667548412765495,-0.15405620837932454,-0.015701227031728004,0,-0.29396100657807506,480,281,380.5,350,426,407
core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide1m_noscreen,B,0.158963383451374,0.021082839642238095,0.11928902284630176,-0.1637527678059198,-0.5851285939161377,-0.04367787880945151,0.07188911321971234,-0.23614932308818237,-0.29588503847937164,-0.028102658163294558,0,-0.5851285939161377,424,454,439.0,451,485,457
