window,mech,start,sharpe,alpha_ann,alpha_tstat,alpha_pval,rsquared,n_obs,const_beta,const_pval,Mkt-RF_beta,Mkt-RF_pval,SMB_beta,SMB_pval,HML_beta,HML_pval,Mom_beta,Mom_pval,ST_Rev_beta,ST_Rev_pval
historical,A,0,1.1222203409030462,0.0677311977632936,1.836830012157116,0.06623499386494787,0.020496427235426773,1255,0.0002687745942987841,0.06623499386494787,0.041196819440973254,0.25984221186686207,-0.0662711149954177,0.19254076924050667,-0.03022291794789121,0.2871116162435111,0.01750008799589423,0.5480625364879352,0.07597918049362286,0.07688904297973005
recent,A,0,0.757897246275057,-0.02712139231032726,-0.5244862937894299,0.5999403504448362,0.16588618067657146,487,-0.00010762457266002881,0.5999403504448362,0.18770244689471635,0.0126401778278966,-0.11547769652953416,0.07494869195412128,-0.041465089672655386,0.35117425475225605,-0.04030334605949853,0.4600205305074194,0.11333191193202327,0.05119727938320242
recent,A,1,1.0134882835383656,-0.0052818509607840125,-0.10670680885012152,0.9150215807707249,0.18249816156241538,469,-2.095972603485719e-05,0.9150215807707249,0.16214944966725575,0.021819006672407028,-0.09866858635913033,0.08814165544936835,-0.06473597795168103,0.09268838420334527,-0.02552861072988199,0.6283342600148403,0.12509635075383024,0.01549263457137275
recent,A,2,1.332533127582587,0.015221600627486419,0.30149395493862713,0.7630378589528167,0.212345049024125,444,6.0403177093200074e-05,0.7630378589528167,0.1835649784907736,0.015256496717849531,-0.1331062393719631,0.038368763291244064,-0.025332860394881522,0.526358094609628,-0.049704361994267546,0.3735033272667908,0.1336862792020705,0.015398664833072177
recent,A,3,1.1192917287221804,0.0009788631386354087,0.017410767271416352,0.9861089194176456,0.21591105162258994,425,3.884377534267494e-06,0.9861089194176456,0.17826444173099484,0.01815323860533969,-0.14081793121308203,0.03889362037434749,-0.055050642987435866,0.21065356370843458,-0.020675577608548743,0.7130385623333761,0.1445510152040755,0.012232267971471054
recent,A,4,1.2452476567277941,0.010220612438173748,0.18075739934194857,0.8565580026110708,0.2079372804786228,407,4.055798586576884e-05,0.8565580026110708,0.18133602689748812,0.007527220568565436,-0.11998275553744142,0.04499464149823242,-0.04131471941310659,0.2900806908629714,-0.03085273647766605,0.5621321001356594,0.1417484307849727,0.008775842464468123
historical,B,0,1.0962936288662382,0.06525823442875772,1.7686349006708821,0.0769548225544669,0.02064541063369607,1255,0.00025896124773316557,0.0769548225544669,0.0400983532617336,0.27674935127866696,-0.0650835650240817,0.20324328288325133,-0.030629611141916636,0.2801753117774437,0.01868951127711812,0.5197892132436013,0.07711057123207765,0.07326671650971509
recent,B,0,0.8214226361021104,-0.022152084776900356,-0.43300631312013965,0.6650101834373879,0.17205493912449332,487,-8.790509832103315e-05,0.6650101834373879,0.1876373958146612,0.012216966712047425,-0.11639703384905684,0.07109984751014967,-0.045237010157940814,0.30293563018409797,-0.04102091660796249,0.44938315279365204,0.11599839211650034,0.0448509013590413
recent,B,1,1.042212597916591,-0.003959142572247681,-0.08012340877391085,0.9361391050888601,0.19042428239009268,469,-1.5710883223205083e-05,0.9361391050888601,0.163652719585418,0.021118612452801788,-0.1004919224265684,0.08193177622479887,-0.0676751056417836,0.07507419251898058,-0.025392509365525177,0.6305997647377901,0.1270758975009021,0.014008291737246756
recent,B,2,1.3241676531040047,0.013136822620386693,0.2624847625473162,0.7929477313715738,0.22027035979617116,444,5.213024849359799e-05,0.7929477313715738,0.18482212687297273,0.014411253939908927,-0.1321992740066128,0.03885380299913158,-0.026417408099415136,0.5025341039626205,-0.04907126008035282,0.3780071930589093,0.1348597157262542,0.014149583271420576
recent,B,3,1.1774006485894486,0.004642488952391029,0.08354414595761436,0.9334188766595692,0.2242534302790684,425,1.842257520790091e-05,0.9334188766595692,0.17833764899601043,0.017591773685237677,-0.1417546744755816,0.036125618379408475,-0.05623182542318256,0.1955188437577633,-0.01974029716811426,0.7242114187011257,0.14789256462686323,0.010026043152649643
recent,B,4,1.341111549461237,0.01716869042274081,0.30796422248134103,0.7581095564188793,0.21699804065707107,407,6.812972389976512e-05,0.7581095564188793,0.18181076638050142,0.007795386112915471,-0.12096786679952555,0.04302222890267509,-0.04493352923465953,0.24292398606975274,-0.03088225127986822,0.5624830534662892,0.1441710693190036,0.007701312884618549
