window,mech,start,sharpe,alpha_ann,alpha_tstat,alpha_pval,rsquared,n_obs,const_beta,const_pval,Mkt-RF_beta,Mkt-RF_pval,SMB_beta,SMB_pval,HML_beta,HML_pval,Mom_beta,Mom_pval,ST_Rev_beta,ST_Rev_pval
historical,A,0,1.1388109709584442,0.057092640837681057,1.7895622518147178,0.07352431146701173,0.02830656847394175,1255,0.0002265580985622264,0.07352431146701173,0.03996131061609853,0.20932806484733457,-0.059192320300929954,0.18476135836209517,-0.03642784481699245,0.14935613256641755,0.014353225526154893,0.5701989989610188,0.08387031466200527,0.025777081384338693
recent,A,0,0.5225517283146124,-0.05045006946398764,-1.0573942901306437,0.2903316763477971,0.18816883631673387,487,-0.0002001986883491573,0.2903316763477971,0.19289633965232597,0.016301549172567428,-0.12564836454310635,0.0635290870742572,-0.04262806923689104,0.3250754880250847,-0.05194539562937747,0.35748982638089366,0.11644018682553335,0.047426035699902946
recent,A,1,0.6061574886605269,-0.04441556728295479,-1.0332545537442175,0.3014847889896968,0.2198115562645605,469,-0.00017625225112283645,0.3014847889896968,0.1639809364214878,0.017223952866914895,-0.10025405809278769,0.06801107667886638,-0.049791130648141266,0.13246855515311634,-0.03403132766471604,0.4905080797479001,0.12401866852856025,0.008932060122685105
recent,A,2,1.0423161149225428,-0.016492347573160777,-0.3551136546647686,0.7225044475199587,0.2592800754684086,444,-6.544582370301895e-05,0.7225044475199587,0.2002232263924395,0.013693354988060317,-0.15032276135799422,0.028648296085590188,-0.00269185369047846,0.945353535415109,-0.06077386103939398,0.2927578730116003,0.14252068599343148,0.009888432774816784
recent,A,3,0.8347153927440117,-0.027629311100159832,-0.5190629115896335,0.6037168707459192,0.24390209050839506,425,-0.00010964012341333267,0.6037168707459192,0.1850811474487292,0.02101156739894003,-0.1558771290615782,0.027712860648911108,-0.04840070585697593,0.2622333815465945,-0.03248275389869256,0.5740861604734393,0.1526984565415417,0.0086154981993662
recent,A,4,1.1227869955283052,-0.009195462329631117,-0.1854594280650943,0.8528686999101542,0.24258908416331215,407,-3.6489929879488563e-05,0.8528686999101542,0.18077623700892442,0.007087183365212279,-0.11650854650436772,0.040903379273927926,-0.030682272457641928,0.36020442827949495,-0.038871049327915186,0.4391877536402241,0.1335742602454411,0.007563310294028883
historical,B,0,1.0935064346075734,0.053743687144344146,1.6805710057070344,0.09284627154179385,0.028726773806954986,1255,0.00021326859977914344,0.09284627154179385,0.039523015566488,0.21536055488061034,-0.05782917805760584,0.19531739776643742,-0.03620565105247582,0.15132083385374967,0.016381130191252098,0.5176059710103671,0.08538281808315028,0.02322615617322991
recent,B,0,0.6118252047753802,-0.042736852085586856,-0.8926761579446864,0.37203062184570734,0.19383794569645918,487,-0.00016959068287931292,0.37203062184570734,0.1936488868820545,0.01471735397113893,-0.12615878071171707,0.06081700945930617,-0.04782817121171889,0.264750782379901,-0.05412266326739614,0.3337003405143639,0.11993521167300689,0.0398444233628507
recent,B,1,0.5556265592993913,-0.04861082121413241,-1.1081941470585746,0.26777797801479764,0.2224426939752686,469,-0.00019290008418306511,0.26777797801479764,0.16525090142213933,0.01640640331403702,-0.09963859049283831,0.06926584144279627,-0.05076617178289602,0.12277865305193242,-0.030965561024143134,0.5306082284311964,0.12575058285413068,0.008115234026796458
recent,B,2,0.8488098228739156,-0.031410488500908114,-0.643153544441171,0.5201244737192139,0.25428154076604503,444,-0.00012464479563852426,0.5201244737192139,0.20318861252881637,0.012132786684449639,-0.14794023878945273,0.03138366782710571,0.001678097828692257,0.9661406640291272,-0.05871117071315699,0.30954810406406197,0.14466596810874843,0.008668961134951952
recent,B,3,0.8236572193986255,-0.027629667104973138,-0.497265421575042,0.6190018925013947,0.23599001783057416,425,-0.00010964153613084579,0.6190018925013947,0.18661907894971486,0.018884912182937932,-0.1566666305457461,0.025955535332545226,-0.04315105805663697,0.33091401470667436,-0.02891909514874248,0.6161801767466307,0.159339477219837,0.006554675490176191
recent,B,4,1.2468400437319258,0.0003532676035168607,0.007072396440711792,0.9943570911140319,0.2460167767941529,407,1.401855569511352e-06,0.9943570911140319,0.18158707591171655,0.007042813769736114,-0.11479442511501221,0.04358665628923908,-0.03460705718586985,0.3020764326315529,-0.036180774947378425,0.473689531177817,0.13350478583899783,0.007681471019927639
