param,mech,recent,hist,joined,score_rank,rank_avg_rank,joined_rank
lb63_s0.10,A,0.826,1.139,1.043,1,17,1
lb63_s0.10,B,0.817,1.094,1.007,2,16,1
lb63_s0.15,A,0.863,1.138,1.053,1,18,1
lb63_s0.15,B,0.866,1.096,1.023,1,14,1
lb63_s0.20,A,0.906,1.153,1.075,1,14,1
lb63_s0.20,B,0.912,1.113,1.049,1,10,1
lb84_s0.10,A,0.835,1.078,1.002,2,20,1
lb84_s0.10,B,0.826,1.038,0.971,2,17,1
lb84_s0.15,A,0.877,1.056,0.999,1,12,1
lb84_s0.15,B,0.879,1.018,0.973,1,13,1
lb84_s0.20,A,0.925,1.059,1.015,1,10,1
lb84_s0.20,B,0.93,1.024,0.991,1,6,1
lb126_s0.10,A,0.818,0.994,0.939,3,18,2
lb126_s0.10,B,0.809,0.969,0.918,3,17,3
lb126_s0.15,A,0.854,0.987,0.944,2,15,1
lb126_s0.15,B,0.857,0.962,0.927,2,15,2
lb126_s0.20,A,0.895,0.965,0.941,1,12,2
lb126_s0.20,B,0.9,0.942,0.926,2,11,2
