pair,window,mech,alpha_ann,alpha_tstat,alpha_pval,rsquared,adj_rsquared,n_obs,const_beta,const_pval,Mkt-RF_beta,Mkt-RF_pval,SMB_beta,SMB_pval,HML_beta,HML_pval,Mom_beta,Mom_pval,ST_Rev_beta,ST_Rev_pval
sp500-12m/cross_sector_slide1m_noscreen + sp500-12m/same_sector_slide3m_noscreen,historical,A,0.016523625713434142,0.45892039184703565,0.6462913345711279,0.05244662890626883,0.04865641542189392,1256,6.556994330727834e-05,0.6462913345711279,0.08273295079094328,2.4291548887676706e-05,-0.048159416028732645,0.12069998139313581,0.009049733175361476,0.7839976513197535,0.009321293031475438,0.6727081942763528,0.12061626283837083,0.002554037159007107
sp500-12m/cross_sector_slide1m_noscreen + sp500-12m/same_sector_slide3m_noscreen,historical,B,0.012509316578187013,0.3494574558694994,0.7267459051854659,0.0532642455258181,0.04947730250792137,1256,4.964014515153577e-05,0.7267459051854659,0.08242808024410465,2.3569704928459512e-05,-0.046299998111128025,0.1320584679183052,0.009649821778975566,0.7693525193626611,0.010583153063062088,0.6310357424928377,0.12144883870303338,0.0024045647711930847
sp500-12m/cross_sector_slide1m_noscreen + sp500-12m/same_sector_slide3m_noscreen,recent,A,0.055590812074727526,0.8970061476840153,0.3697156365873213,0.08590512243697024,0.07655854904675508,495,0.0002205984606139981,0.3697156365873213,0.11387512281091138,0.12692705239853944,-0.02002447694096894,0.7762925452124709,-0.055158073305304776,0.28502922425540966,-0.03679713941715164,0.5130900154911723,0.14680038000157108,0.013973378353052096
sp500-12m/cross_sector_slide1m_noscreen + sp500-12m/same_sector_slide3m_noscreen,recent,B,0.06007230145450685,0.9719905980946886,0.33105522591777004,0.0897359096873146,0.08042850590088624,495,0.00023838214862899543,0.33105522591777004,0.11542845739232897,0.11708414922927578,-0.02179204111659091,0.7553883720559902,-0.0597054419777522,0.24473863000134488,-0.04085798190916096,0.46269147647376696,0.1487955198226065,0.011961130983834016
sp500-12m/cross_sector_slide1m_noscreen + sp500-2m/cross_sector_slide3m_bd7,historical,A,0.057092640837681057,1.7895622518147178,0.07352431146701173,0.02830656847394175,0.024416682839329962,1255,0.0002265580985622264,0.07352431146701173,0.03996131061609853,0.20932806484733457,-0.059192320300929954,0.18476135836209517,-0.03642784481699245,0.14935613256641755,0.014353225526154893,0.5701989989610188,0.08387031466200527,0.025777081384338693
sp500-12m/cross_sector_slide1m_noscreen + sp500-2m/cross_sector_slide3m_bd7,historical,B,0.05374368714434413,1.680571005707033,0.09284627154179412,0.028726773806955208,0.02483857033940906,1255,0.0002132685997791434,0.09284627154179412,0.03952301556648797,0.21536055488061034,-0.057829178057605755,0.19531739776643808,-0.03620565105247584,0.15132083385374942,0.016381130191252022,0.5176059710103689,0.08538281808315047,0.023226156173229574
sp500-12m/cross_sector_slide1m_noscreen + sp500-2m/cross_sector_slide3m_bd7,recent,A,-0.050450069463987515,-1.0573942901306401,0.2903316763477988,0.18816883631673376,0.17972984293125283,487,-0.00020019868834915682,0.2903316763477988,0.19289633965232594,0.016301549172567428,-0.12564836454310635,0.0635290870742572,-0.042628069236891095,0.32507548802508435,-0.0519453956293774,0.35748982638089466,0.11644018682553336,0.047426035699902905
sp500-12m/cross_sector_slide1m_noscreen + sp500-2m/cross_sector_slide3m_bd7,recent,B,-0.042736852085586856,-0.8926761579446867,0.37203062184570723,0.19383794569645907,0.18545788276191089,487,-0.00016959068287931292,0.37203062184570723,0.19364888688205442,0.014717353971138974,-0.12615878071171707,0.06081700945930617,-0.04782817121171886,0.2647507823799016,-0.054122663267396114,0.33370034051436404,0.11993521167300703,0.0398444233628505
sp500-12m/cross_sector_slide1m_noscreen + sp500-2m/cross_sector_slide3m_noscreen,historical,A,0.035545328205374434,0.9301526377928925,0.35229206018927783,0.017411763404363234,0.01348141045798068,1256,0.0001410528897038668,0.35229206018927783,0.05759307815452718,0.035711554487655256,-0.05610685550196977,0.13026009271695466,-0.015789465281047733,0.691558898120854,0.019839601719284602,0.5154302228102023,0.05761511898051452,0.1685655799001352
sp500-12m/cross_sector_slide1m_noscreen + sp500-2m/cross_sector_slide3m_noscreen,historical,B,0.03365953795027277,0.8716248625805317,0.38341306263016384,0.01792525933533151,0.01399696037267284,1256,0.00013356959504076497,0.38341306263016384,0.05720362330864528,0.03764915151440926,-0.057153497670440256,0.12643481465128797,-0.01482027421558938,0.709299176047707,0.023179871713702407,0.45086878352500315,0.061059412984848654,0.14582149673092912
