A,B,recent,hist,joined_sh,score,r_ret,h_ret,r_rank,h_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide3m_bd7,0.5211223917181773,-0.6574666365786073,-0.2178938097077842,-0.6574666365786073,0.06940465278861589,-0.05240712875715736,300,460,380.0,459,436,445
core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide1m_noscreen,0.729334905179144,-0.4998535025183809,-0.0819068109586762,-0.4998535025183809,0.07924013747056562,-0.04055586531901312,193,438,315.5,436,370,394
core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide1m_bd7,0.6721390203161053,-0.6995590661874765,-0.2087209598314282,-0.6995590661874765,0.06515308802695445,-0.04272285471567239,222,467,344.5,467,402,442
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide3m_noscreen,0.7707457828869166,-0.49817443503464093,-0.2018875565608075,-0.49817443503464093,0.11251573856681776,-0.09976467186088389,175,437,306.0,435,356,441
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide3m_bd7,0.23104661823666445,-0.4931577162776178,-0.3490541586279383,-0.4931577162776178,0.03191248845065411,-0.11268812633132042,436,435,435.5,433,480,477
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_noscreen,1.0235126383133644,-0.6763426470673227,-0.0494667340950641,-0.6763426470673227,0.1157068190154357,-0.04769347992246531,93,463,278.0,463,313,371
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_bd7,0.34497131015750127,-0.38810976257123014,-0.112154950524214,-0.38810976257123014,0.03718288414112061,-0.026455520229624163,384,401,392.5,395,445,403
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_noscreen,0.5767625804443843,-0.13617345810898304,0.1064486674780233,-0.13617345810898304,0.061673726638481474,-0.013254887704176044,261,290,275.5,279,308,284
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_bd7,0.5792654688892208,-0.30539136734756184,0.003587807453182,-0.30539136734756184,0.057512137817214135,-0.020354804630924095,259,371,315.0,363,369,341
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_noscreen,0.4823976203953769,-0.09881020589835686,0.1199403209525455,-0.09881020589835686,0.04996699620551517,-0.007960468337690485,324,276,300.0,264,349,277
