A,B,recent,hist,joined_sh,score,r_ret,h_ret,r_rank,h_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide3m_bd7,0.5378352011809663,-0.6485640671400894,-0.20973541071965102,-0.6485640671400894,0.07039587954666418,-0.05201928922845134,291,462,376.5,462,435,452
core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide1m_noscreen,0.89454009554095,-0.440603331175605,0.012611546365257822,-0.440603331175605,0.09874073411946971,-0.036414761527016726,136,428,282.0,424,327,351
core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide1m_bd7,0.7391078342497033,-0.650960121984348,-0.15955966325532386,-0.650960121984348,0.0713141957033955,-0.04053807299947432,199,464,331.5,464,398,434
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide3m_noscreen,0.788154334749413,-0.4600280918307938,-0.17219682160409472,-0.4600280918307938,0.1133177821550601,-0.09431673729143497,172,432,302.0,428,353,441
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide3m_bd7,0.25043333650778044,-0.4408295994048605,-0.30498763305866505,-0.4408295994048605,0.033320886597935286,-0.10431377876033021,413,429,421.0,425,474,474
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_noscreen,0.9397127391964017,-0.6894907962218442,-0.08580293525983343,-0.6894907962218442,0.1061458562173482,-0.04894836608408659,114,469,291.5,469,337,401
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_bd7,0.3423191224468075,-0.3873347346185928,-0.11420917318507864,-0.3873347346185928,0.03616538871938961,-0.026482240605757212,379,415,397.0,410,453,410
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_noscreen,0.59348877985073,-0.12624018588288666,0.1169615193474323,-0.12624018588288666,0.06260342544995363,-0.012502020789568413,258,295,276.5,284,313,286
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_bd7,0.5827040201437306,-0.3006833680806385,0.006407131424904973,-0.3006833680806385,0.057212112268788265,-0.020083161094348267,265,382,323.5,373,387,355
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_noscreen,0.3901926351661765,-0.005495917770589076,0.1445811184595352,-0.005495917770589076,0.03954656729115236,-0.002270506800952532,357,244,300.5,229,350,268
