pair,window,mech,alpha_ann,alpha_tstat,alpha_pval,rsquared,adj_rsquared,n_obs,const_beta,const_pval,Mkt-RF_beta,Mkt-RF_pval,SMB_beta,SMB_pval,HML_beta,HML_pval,Mom_beta,Mom_pval,ST_Rev_beta,ST_Rev_pval
sp500-12m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,historical,A,-0.006441477542353584,-0.2468170702256774,0.8050497989965092,0.05415640450541992,0.05036696702347043,1254,-2.5561418818863428e-05,0.8050497989965092,0.06431734374727999,8.994359922916114e-05,-0.046733292415374134,0.07363328401985939,-0.012286928622985145,0.6411765418145337,0.008923801697593953,0.6426851188074252,0.09137409886747541,0.0021693192946880863
sp500-12m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,historical,B,-0.008624447743362665,-0.32872268554854106,0.7423653058225685,0.055539327082733236,0.051755430155981275,1254,-3.422399898159788e-05,0.7423653058225685,0.06478893487447508,7.281259623975006e-05,-0.048171453326118295,0.06582258004869752,-0.010210527914919432,0.6989796305205247,0.010322777409632082,0.5960889298303285,0.09338901170760158,0.001735269049391032
sp500-12m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,recent,A,-0.019489753016911276,-0.4704926291898103,0.6380030990766775,0.17094648368920873,0.16241712652551754,492,-7.734028974964793e-05,0.6380030990766775,0.16738056586451505,0.027002815314814504,-0.06688997831455648,0.31582515267319355,-0.030522680209595796,0.41329158284726075,-0.04531480870621074,0.389620642537174,0.11172634047660002,0.04892874933677618
sp500-12m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,recent,B,-0.0012414208603514756,-0.028434144010300328,0.9773158922213021,0.17247404423100976,0.16396040271075274,492,-4.926273255362998e-06,0.9773158922213021,0.17008732712227984,0.021732189809437176,-0.06909696022512676,0.30027911174215394,-0.03097964790052164,0.40390074630699613,-0.054799471634751726,0.2927164036988471,0.11945496898681529,0.03340266996737661
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,historical,A,0.016523625713434142,0.45892039184703565,0.6462913345711279,0.05244662890626883,0.04865641542189392,1256,6.556994330727834e-05,0.6462913345711279,0.08273295079094328,2.4291548887676706e-05,-0.048159416028732645,0.12069998139313581,0.009049733175361476,0.7839976513197535,0.009321293031475438,0.6727081942763528,0.12061626283837083,0.002554037159007107
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,historical,B,0.012509316578187012,0.3494574558694993,0.7267459051854659,0.05326424552581821,0.04947730250792148,1256,4.964014515153576e-05,0.7267459051854659,0.08242808024410464,2.3569704928459512e-05,-0.04629999811112804,0.13205846791830514,0.009649821778975526,0.769352519362662,0.010583153063062116,0.6310357424928367,0.12144883870303338,0.0024045647711930847
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,recent,A,0.055590812074727304,0.8970061476840125,0.36971563658732287,0.08590512243697035,0.07655854904675519,495,0.00022059846061399724,0.36971563658732287,0.1138751228109113,0.12692705239853963,-0.020024476940968504,0.7762925452124756,-0.05515807330530484,0.285029224255409,-0.036797139417151466,0.5130900154911745,0.14680038000157106,0.013973378353052096
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,recent,B,0.06007230145450685,0.9719905980946886,0.33105522591777004,0.0897359096873146,0.08042850590088624,495,0.00023838214862899543,0.33105522591777004,0.11542845739232897,0.11708414922927578,-0.02179204111659091,0.7553883720559902,-0.0597054419777522,0.24473863000134488,-0.04085798190916096,0.46269147647376696,0.1487955198226065,0.011961130983834016
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide3m_bd7,historical,A,0.014710251351323018,0.3706593659743002,0.710891258987555,0.03954553071509892,0.03546543526359136,1183,5.837401329890087e-05,0.710891258987555,0.08464155478245074,0.00017029631273568943,-0.03086849833164561,0.43594150451589264,0.028928493445675968,0.5484902224949267,0.0026472388174059616,0.9079731623699903,0.11061561307923758,0.015257021359764096
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide3m_bd7,historical,B,0.013083031184123826,0.3300081452142428,0.7413938075920616,0.03942643924504308,0.03534583788244772,1183,5.191679041318978e-05,0.7413938075920616,0.08462602121247313,0.00015802709782161331,-0.02900793395355229,0.46195332707755943,0.028313755866228394,0.5568408496277489,0.002290626658514542,0.9205194429750125,0.10970343898092436,0.016245259552104947
