fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,0.13482789815241336,19,20
1,2015-04-01,2015-06-30,0.1540054159503185,5,20
2,2015-07-01,2015-09-30,0.2459879567280632,17,20
3,2015-10-01,2015-12-31,-0.10485419302511041,11,20
4,2016-01-01,2016-03-31,0.10140624200023184,21,20
5,2016-04-01,2016-06-30,0.11278617795449494,23,20
6,2016-07-01,2016-09-30,0.02772702530338992,22,20
7,2016-10-01,2016-12-31,0.15406794928058656,13,20
8,2017-01-01,2017-03-31,-0.12280681563797684,6,20
9,2017-04-01,2017-06-30,0.1302813807639264,12,20
10,2017-07-01,2017-09-30,0.021029969284629312,14,20
11,2017-10-01,2017-12-31,-0.07285561450799034,10,20
12,2018-01-01,2018-03-31,-0.1029647861051999,12,20
13,2018-04-01,2018-06-30,0.18396905614654624,13,20
14,2018-07-01,2018-09-30,0.1136936559159096,12,20
15,2018-10-01,2018-12-31,-0.07108282621931096,16,20
16,2019-01-01,2019-03-31,-0.04561359273693401,15,20
17,2019-04-01,2019-06-30,0.1677927779111234,9,20
18,2019-07-01,2019-09-30,0.02663461384725488,9,20
19,2019-10-01,2019-12-31,-0.04295506409666085,7,20
