fold,start,end,sharpe,trades,pairs
0,2024-02-01,2024-04-30,-0.08182712386255589,23,20
1,2024-03-01,2024-05-31,-0.34770747687101694,20,20
2,2024-04-01,2024-06-30,-0.08196957138435122,27,20
3,2024-05-01,2024-07-31,0.04553538168597384,23,20
4,2024-06-01,2024-08-31,0.19417436925900466,26,20
5,2024-07-01,2024-09-30,0.25025321704646486,27,20
6,2024-08-01,2024-10-31,0.2549536162432224,27,20
7,2024-09-01,2024-11-30,0.22048944914148583,28,20
8,2024-10-01,2024-12-31,-0.05070694186600164,20,20
9,2024-11-01,2025-01-31,0.13529327777458588,23,20
10,2024-12-01,2025-02-28,-0.04961084792016563,30,20
11,2025-01-01,2025-03-31,0.10344222186336616,31,20
12,2025-02-01,2025-04-30,-0.04638391842161936,24,20
13,2025-03-01,2025-05-31,0.08407124971107766,35,20
14,2025-04-01,2025-06-30,0.12378228605329365,32,20
15,2025-05-01,2025-07-31,0.15147983658773687,28,20
16,2025-06-01,2025-08-31,0.04122721479909751,20,20
17,2025-07-01,2025-09-30,0.26911478466260075,14,20
18,2025-08-01,2025-10-31,0.009877210870492651,18,20
19,2025-09-01,2025-11-30,0.19008300439079517,23,20
20,2025-10-01,2025-12-31,-0.10294897700698932,22,20
