window,start_index,start_A,start_B,rebalance_month,v1_trailing_sharpe_A,v1_trailing_sharpe_B,v1_a_weight,v2_trailing_sharpe_A,v2_trailing_sharpe_B,v2_a_weight,v2_minus_v1_a_weight,abs_a_weight_difference,v1_favored_leg,v2_favored_leg,favored_leg_same,favored_leg_flipped,weights_different
recent,0,2023-01-01,2023-11-01,2024-01-01,,,0.5,,,0.5,0.0,0.0,neutral,neutral,True,False,False
recent,0,2023-01-01,2023-11-01,2024-02-01,-1.4329915139486475,0.7875867005451593,0.1,-1.5406690551208055,-0.04951203523259177,0.1,0.0,0.0,B,B,True,False,False
recent,0,2023-01-01,2023-11-01,2024-03-01,-1.018443499436338,-0.030801106010368794,0.1,-1.122760401577846,-0.859783072417863,0.1,0.0,0.0,B,B,True,False,False
recent,0,2023-01-01,2023-11-01,2024-04-01,-1.0476651713902876,-0.16502388552710512,0.1,-1.2307210034798997,-0.7185635596355067,0.1,0.0,0.0,B,B,True,False,False
recent,0,2023-01-01,2023-11-01,2024-05-01,-1.5081956419022235,-1.113210430369675,0.1,-1.8739387627690418,-1.7978494073753344,0.1,0.0,0.0,B,B,True,False,False
recent,0,2023-01-01,2023-11-01,2024-06-01,-1.8068635138083493,-0.7864701205928815,0.1,-2.128943463795233,-0.5953880256700601,0.1,0.0,0.0,B,B,True,False,False
recent,0,2023-01-01,2023-11-01,2024-07-01,-2.0514695285262254,0.6057954348186947,0.1,-2.2361769176071182,0.8928525549715588,0.1,0.0,0.0,B,B,True,False,False
recent,0,2023-01-01,2023-11-01,2024-08-01,0.025428664432637783,-1.6556654188299202,0.5,-0.12565598774768794,-1.3591884037357225,0.5,0.0,0.0,neutral,neutral,True,False,False
recent,0,2023-01-01,2023-11-01,2024-09-01,1.9545113765905597,-1.0785407968922267,0.9,1.5120093925664535,-0.649086630747464,0.9,0.0,0.0,A,A,True,False,False
recent,0,2023-01-01,2023-11-01,2024-10-01,5.987025213153643,-1.186511891982381,0.9,5.844267969072554,-1.227891550879837,0.9,0.0,0.0,A,A,True,False,False
recent,0,2023-01-01,2023-11-01,2024-11-01,4.788562984682252,-2.3925375316795137,0.9,4.259448856169913,-2.48681499641214,0.9,0.0,0.0,A,A,True,False,False
recent,0,2023-01-01,2023-11-01,2024-12-01,4.181962686292285,0.08938446577460926,0.9,3.775896889646072,-0.07816085100210636,0.9,0.0,0.0,A,A,True,False,False
recent,0,2023-01-01,2023-11-01,2025-01-01,2.3975943380327336,0.0937502786994818,0.9,2.1416358199887804,0.9633374991597915,0.9,0.0,0.0,A,A,True,False,False
recent,0,2023-01-01,2023-11-01,2025-02-01,1.4146977472576618,-1.0591046896210712,0.9,1.0625795571539325,-0.12250732172715853,0.9,0.0,0.0,A,A,True,False,False
recent,0,2023-01-01,2023-11-01,2025-03-01,0.591722520912436,-1.745550421868831,0.9,0.09103939200054319,-0.9808077176957658,0.9,0.0,0.0,A,A,True,False,False
