window,start_index,start_A,start_B,mechanism,case,date,daily_return
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-02,0.0
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-03,-0.03184841246509552
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-04,-0.004664195639240912
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-05,0.021754160867188056
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-08,0.00410757183698414
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-09,-0.015210543213178211
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-10,0.0069492602797007145
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-11,-0.009965855109763574
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-12,0.014909544429173461
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-16,-0.006066329675970533
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-17,-0.016135530260969172
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-18,-0.0026509202072644562
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-19,4.176209354663106e-05
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-22,0.007269409245506563
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-23,-0.0025374507443656096
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-24,-0.001667936558377482
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-25,0.015263322927374524
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-26,-0.0010932870882233887
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-29,-0.00535108462689534
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-30,0.002831515199905717
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-01-31,0.005137590536544656
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-01,0.0035533048533619312
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-02,-0.00382796356302651
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-05,-0.0011295955175044344
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-06,-0.0030615911411790114
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-07,-0.0008523936831414708
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-08,0.0006124994649765895
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-09,0.00022429269104424715
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-12,0.002605605626123992
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-13,-0.0018029517329186807
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-14,0.0020439180522516262
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-15,-0.002790178424302594
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-16,-0.0012271173943850194
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-20,0.00011763568113321036
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-21,-0.0006960336300218644
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-22,0.0008682143934040707
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-23,0.0004145711923838017
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-26,-0.0009556538355852104
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-27,0.00016360049234583198
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-28,-6.545098843518961e-06
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-02-29,-0.00026656949938577224
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-01,-0.00012281790382970845
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-04,-0.000620208721561115
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-05,-4.635378019562992e-05
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-06,0.0012549051288058969
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-07,-0.0013057365916918863
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-08,-0.0037749353406605333
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-11,0.011421381631473448
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-12,0.004582631842160653
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-13,-0.009968397279284459
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-14,0.004055124607604805
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-15,-0.0006212083655891981
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-18,0.0015818912078423286
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-19,0.00614690442903282
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-20,-0.00707512132448121
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-21,-0.00781148857950183
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-22,-0.00021613435610545222
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-25,-0.0005041115880983027
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-26,-0.00036468263787075233
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-27,-0.00013961235892084026
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-03-28,0.00010294252160558956
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-01,3.123290837913298e-06
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-02,-0.00013342945734083904
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-03,2.7277261721681918e-05
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-04,-0.003280570086643843
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-05,-0.002055619024350604
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-08,0.004253682370677415
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-09,-0.006280217414102046
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-10,-0.005378416264657914
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-11,0.0001990428939644511
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-12,-0.00013048684320037334
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-15,0.0002933222550094627
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-16,-0.00026188617915786413
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-17,-0.0021850505839219243
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-18,-0.005145884972254511
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-19,0.001987170508188816
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-22,-0.004920429499725176
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-23,0.0019474584965490588
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-24,-0.004498507242285771
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-25,0.0023453485393473395
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-26,-0.0005466938681149947
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-29,0.0018185852206177044
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-04-30,-0.002940215972560689
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-01,0.001295069933027145
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-02,0.0008378328875527141
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-03,0.000657753082487885
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-06,7.122103598262011e-05
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-07,0.0005850023760283743
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-08,0.00010339453594117395
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-09,-0.0001388481990876372
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-10,-0.0008811691046527083
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-13,-5.735086806472736e-05
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-14,-0.0006158445880300662
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-15,-0.00045484531336258946
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-16,0.005329768938737367
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-17,-0.0003691424240628585
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-20,0.0030080422124205575
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-21,0.0029059904253221336
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-22,-0.0008671146456882904
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-23,0.006966649456672789
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-24,-0.003974356729170526
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-28,-0.009287744795252417
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-29,-0.0008255429383912169
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-30,0.004244386505738042
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-05-31,0.0058448110809866715
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-03,-0.0006465558408873645
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-04,-0.0011377874617793263
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-05,0.004912403641855022
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-06,-3.3255075159636957e-05
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-07,0.0053425184437729985
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-10,0.006633569997769707
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-11,-0.00012039983288819584
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-12,6.615595265458333e-05
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-13,0.0001288741374058127
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-14,7.302830426262485e-05
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-17,-7.103592480003484e-05
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-18,-0.00025856724600858863
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-20,-8.339442103576717e-05
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-21,0.0006003920738729627
recent,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,2024-06-24,-0.005447767771997763
