window,scope,start_index,start_A,start_B,mechanism,case,sizing_source,allocator_source,annualized_return,annualized_volatility,sharpe,max_drawdown,n_days,rejected_entries
recent,run,0,2023-01-01,2023-11-01,A,case_1_v1_sizing_v1_allocator,v1,v1,0.0659471425801279,0.08949847720760064,0.757897246275056,-0.06680447491116259,492.0,0.0
recent,run,0,2023-01-01,2023-11-01,A,case_2_v2_sizing_v2_allocator,v2,v2,0.025913193204439633,0.0536526203120015,0.5032893652943384,-0.03494429588939252,492.0,0.0
recent,run,0,2023-01-01,2023-11-01,A,case_3_v2_sizing_v1_allocator,v2,v1,0.03342167265859075,0.05128508773425026,0.6664018174078427,-0.03494429588939252,492.0,0.0
recent,run,0,2023-01-01,2023-11-01,A,case_4_v1_sizing_v2_allocator,v1,v2,0.04368773664120651,0.09450995560844536,0.49900818434434935,-0.06680447491116259,492.0,0.0
recent,run,0,2023-01-01,2023-11-01,B,case_1_v1_sizing_v1_allocator,v1,v1,0.07141368331999565,0.08872112477119011,0.8214226361021085,-0.06456678984993802,492.0,0.0
recent,run,0,2023-01-01,2023-11-01,B,case_2_v2_sizing_v2_allocator,v2,v2,0.02927948706267469,0.05328780119837403,0.5678502037880133,-0.03393253193989576,492.0,0.0
recent,run,0,2023-01-01,2023-11-01,B,case_3_v2_sizing_v1_allocator,v2,v1,0.03649560117737316,0.05090778210369037,0.729311908201101,-0.03393253193989576,492.0,0.0
recent,run,0,2023-01-01,2023-11-01,B,case_4_v1_sizing_v2_allocator,v1,v2,0.05019091269064346,0.09383495044862218,0.5681241337390336,-0.06456678984993802,492.0,0.0
recent,run,1,2023-02-01,2023-12-01,A,case_1_v1_sizing_v1_allocator,v1,v1,0.08443915019598403,0.08338654562443304,1.0134882835383676,-0.0566189291229543,472.0,0.0
recent,run,1,2023-02-01,2023-12-01,A,case_2_v2_sizing_v2_allocator,v2,v2,0.003305615015239516,0.05022030996115711,0.09078066904741912,-0.05694027365136278,472.0,0.0
recent,run,1,2023-02-01,2023-12-01,A,case_3_v2_sizing_v1_allocator,v2,v1,0.038088947790368755,0.05037061809101823,0.767084411512276,-0.036280867924672666,472.0,0.0
recent,run,1,2023-02-01,2023-12-01,A,case_4_v1_sizing_v2_allocator,v1,v2,0.031299361766819134,0.08184987211352235,0.41741419773545,-0.08458808888531999,472.0,0.0
recent,run,1,2023-02-01,2023-12-01,B,case_1_v1_sizing_v1_allocator,v1,v1,0.08644836312472925,0.08281873586812341,1.0422125979165924,-0.059734193006780956,472.0,0.0
recent,run,1,2023-02-01,2023-12-01,B,case_2_v2_sizing_v2_allocator,v2,v2,0.0046391856233534146,0.05010462393274302,0.11738538338885464,-0.057259256710653905,472.0,0.0
recent,run,1,2023-02-01,2023-12-01,B,case_3_v2_sizing_v1_allocator,v2,v1,0.039649302250876595,0.050085322193467216,0.8011571828567352,-0.036355045162245636,472.0,0.0
recent,run,1,2023-02-01,2023-12-01,B,case_4_v1_sizing_v2_allocator,v1,v2,0.03314190372138337,0.08153676044347936,0.4405962205917761,-0.08483389567236277,472.0,0.0
recent,run,2,2023-03-01,2024-01-01,A,case_1_v1_sizing_v1_allocator,v1,v1,0.11260138982023848,0.082610712174945,1.332533127582587,-0.05119020939955299,448.0,0.0
recent,run,2,2023-03-01,2024-01-01,A,case_2_v2_sizing_v2_allocator,v2,v2,0.015585801844714142,0.056492157464657196,0.30197077936105016,-0.06732359884777561,448.0,0.0
recent,run,2,2023-03-01,2024-01-01,A,case_3_v2_sizing_v1_allocator,v2,v1,0.05348943403943629,0.04991641824064307,1.0686443803646433,-0.03560352445552373,448.0,0.0
recent,run,2,2023-03-01,2024-01-01,A,case_4_v1_sizing_v2_allocator,v1,v2,0.07016833504332931,0.09427667123530567,0.765600368378015,-0.08368796677391388,448.0,0.0
recent,run,2,2023-03-01,2024-01-01,B,case_1_v1_sizing_v1_allocator,v1,v1,0.11070190382752743,0.08179051653299114,1.324167653104005,-0.050959750898283085,448.0,0.0
recent,run,2,2023-03-01,2024-01-01,B,case_2_v2_sizing_v2_allocator,v2,v2,0.015480305371055936,0.05633080343137766,0.30083027919640615,-0.06743373653035889,448.0,0.0
recent,run,2,2023-03-01,2024-01-01,B,case_3_v2_sizing_v1_allocator,v2,v1,0.053298423753507684,0.04954200881103097,1.0726828275344924,-0.03556266786144657,448.0,0.0
recent,run,2,2023-03-01,2024-01-01,B,case_4_v1_sizing_v2_allocator,v1,v2,0.06876815908416178,0.09408903331255301,0.7530038837949011,-0.08380193161183003,448.0,0.0
recent,run,3,2023-04-01,2024-02-01,A,case_1_v1_sizing_v1_allocator,v1,v1,0.09759750840795567,0.08650588602826968,1.119291728722182,-0.047043046639273056,430.0,0.0
recent,run,3,2023-04-01,2024-02-01,A,case_2_v2_sizing_v2_allocator,v2,v2,0.04190173525177676,0.05549610239396903,0.7670174467669238,-0.031303706954716404,430.0,0.0
recent,run,3,2023-04-01,2024-02-01,A,case_3_v2_sizing_v1_allocator,v2,v1,0.050631316328859644,0.052862258379784435,0.9605058066001975,-0.030702590297976395,430.0,0.0
recent,run,3,2023-04-01,2024-02-01,A,case_4_v1_sizing_v2_allocator,v1,v2,0.07141209636881074,0.09243305056750964,0.7916613588285522,-0.058422814692913105,430.0,0.0
recent,run,3,2023-04-01,2024-02-01,B,case_1_v1_sizing_v1_allocator,v1,v1,0.10214239006498627,0.08568713647945235,1.1774006485894541,-0.04679781210492173,430.0,0.0
recent,run,3,2023-04-01,2024-02-01,B,case_2_v2_sizing_v2_allocator,v2,v2,0.04438616242376603,0.05509713818905166,0.8154043224405962,-0.031235798088710354,430.0,0.0
recent,run,3,2023-04-01,2024-02-01,B,case_3_v2_sizing_v1_allocator,v2,v1,0.05276814675848396,0.05244921002034686,1.006400302545767,-0.030644188595677524,430.0,0.0
recent,run,3,2023-04-01,2024-02-01,B,case_4_v1_sizing_v2_allocator,v1,v2,0.07719902326382111,0.09173605044960807,0.855705785734149,-0.05690815911344205,430.0,0.0
recent,run,4,2023-05-01,2024-03-01,A,case_1_v1_sizing_v1_allocator,v1,v1,0.11172445976425949,0.08815304471469088,1.2452476567277955,-0.05541041768724153,410.0,0.0
recent,run,4,2023-05-01,2024-03-01,A,case_2_v2_sizing_v2_allocator,v2,v2,0.009219585662114005,0.05326321536554503,0.19888603409016203,-0.056940273651361895,410.0,0.0
recent,run,4,2023-05-01,2024-03-01,A,case_3_v2_sizing_v1_allocator,v2,v1,0.04960343592168415,0.053401253987924995,0.9330544000021035,-0.03628086792467211,410.0,0.0
recent,run,4,2023-05-01,2024-03-01,A,case_4_v1_sizing_v2_allocator,v1,v2,0.049245332107207496,0.08653581466426284,0.5987473334920861,-0.08458808888531921,410.0,0.0
recent,run,4,2023-05-01,2024-03-01,B,case_1_v1_sizing_v1_allocator,v1,v1,0.11987444673247794,0.08723980350724807,1.341111549461237,-0.05542154051878878,410.0,0.0
recent,run,4,2023-05-01,2024-03-01,B,case_2_v2_sizing_v2_allocator,v2,v2,0.013316750113105513,0.05307517747303999,0.275740885228193,-0.05725925657269637,410.0,0.0
recent,run,4,2023-05-01,2024-03-01,B,case_3_v2_sizing_v1_allocator,v2,v1,0.054075282915149625,0.05302065520686509,1.0195672404370102,-0.03635504502671061,410.0,0.0
recent,run,4,2023-05-01,2024-03-01,B,case_4_v1_sizing_v2_allocator,v1,v2,0.05685695445633687,0.08591010733947667,0.6866296202401438,-0.08483389489342641,410.0,0.0
historical,run,0,2014-01-01,2014-11-01,A,case_1_v1_sizing_v1_allocator,v1,v1,0.09098047531941122,0.08046115027337992,1.1222203409030458,-0.08952974140493075,1258.0,0.0
historical,run,0,2014-01-01,2014-11-01,A,case_2_v2_sizing_v2_allocator,v2,v2,0.04043372923994992,0.039526709261098594,1.0225525213643203,-0.04986683592651331,1258.0,0.0
historical,run,0,2014-01-01,2014-11-01,A,case_3_v2_sizing_v1_allocator,v2,v1,0.03849994261277345,0.04036949325446311,0.955945565774791,-0.04986683592651253,1258.0,0.0
historical,run,0,2014-01-01,2014-11-01,A,case_4_v1_sizing_v2_allocator,v1,v2,0.09328446288598347,0.07878058283857264,1.1712360664155606,-0.08952974140493253,1258.0,0.0
historical,run,0,2014-01-01,2014-11-01,B,case_1_v1_sizing_v1_allocator,v1,v1,0.08831583709730029,0.08010529325813628,1.0962936288662382,-0.08866595043142156,1258.0,0.0
historical,run,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,v2,v2,0.03910960856678125,0.039410517330916606,0.993131478411063,-0.04965148699019817,1258.0,0.0
