start_index,start_A,start_B,mechanism,different_weight_days,identical_weight_days,actual_v1_minus_v2_pnl_different_weight_days,actual_v1_minus_v2_pnl_identical_weight_days,matched_v1_to_v2_minus_v2_pnl_different_weight_days,matched_v1_to_v2_minus_v2_pnl_identical_weight_days,reverse_v1_minus_v2_matched_pnl_different_weight_days,reverse_v1_minus_v2_matched_pnl_identical_weight_days,actual_v1_minus_v2_return_different_weight_days,actual_v1_minus_v2_return_identical_weight_days,matched_v1_to_v2_minus_v2_return_different_weight_days,matched_v1_to_v2_minus_v2_return_identical_weight_days,reverse_v1_minus_v2_matched_return_different_weight_days,reverse_v1_minus_v2_matched_return_identical_weight_days,actual_v1_final_equity,actual_v2_final_equity,v1_matched_to_v2_final_equity,v2_matched_to_v1_final_equity,actual_v1_minus_v2_final_equity_gap,v1_matched_to_v2_minus_v2_final_equity_gap,v2_matched_to_v1_minus_v1_final_equity_gap,v1_advantage_removed_by_matching_to_v2_pct,v1_advantage_removed_by_matching_v2_to_v1_pct,actual_v1_cumulative_return,actual_v1_annualized_return,actual_v1_annualized_volatility,actual_v1_sharpe,actual_v1_max_drawdown,actual_v1_n_days,actual_v2_cumulative_return,actual_v2_annualized_return,actual_v2_annualized_volatility,actual_v2_sharpe,actual_v2_max_drawdown,actual_v2_n_days,v1_matched_to_v2_cumulative_return,v1_matched_to_v2_annualized_return,v1_matched_to_v2_annualized_volatility,v1_matched_to_v2_sharpe,v1_matched_to_v2_max_drawdown,v1_matched_to_v2_n_days,v2_matched_to_v1_cumulative_return,v2_matched_to_v1_annualized_return,v2_matched_to_v1_annualized_volatility,v2_matched_to_v1_sharpe,v2_matched_to_v1_max_drawdown,v2_matched_to_v1_n_days
0,2023-01-01,2023-11-01,A,62,430,27919.982029698906,53656.652683478664,11045.244517198433,10701.127337670423,14180.995185070022,23909.94126888466,0.027517970058501238,0.05219355870950287,0.010056364652979377,0.00991283618676698,0.011172271513139122,0.021445410096639365,1.1327930955669905,1.051216460853813,1.0729628327086842,1.0947021591130335,0.08157663471317744,0.02174637185487116,-0.038090936453957,73.34240137346782,53.306560649523824,0.13279309556699048,0.0659471425801279,0.08949847720760064,0.757897246275056,-0.06680447491116259,492,0.05121646085381304,0.025913193204439633,0.0536526203120015,0.5032893652943384,-0.03494429588939252,492,0.0729628327086842,0.03672918141090009,0.04834986065265351,0.7700315984373859,-0.03256903586058946,492,0.09470215911303348,0.04743530097034676,0.0986837284654936,0.5180593883766887,-0.07231052412489936,492
0,2023-01-01,2023-11-01,B,62,430,27594.371736303787,58607.11248172342,10648.54413397142,9872.933904435075,13565.373989345131,22075.915876121093,0.02711646019465233,0.05609021162062924,0.009656464565731371,0.009051576954617998,0.010548259000423553,0.019530371225485635,1.1441628549029634,1.0579613706849302,1.0784828487233382,1.1085215650374982,0.0862014842180332,0.02052147803840798,-0.03564128986546522,76.19359083597435,58.65350789631865,0.14416285490296343,0.07141368331999565,0.08872112477119011,0.8214226361021085,-0.06456678984993802,492,0.057961370684930236,0.02927948706267469,0.05328780119837403,0.5678502037880133,-0.03393253193989576,492,0.07848284872333822,0.039457609529515825,0.04797754240372171,0.8304230350657783,-0.03142522933086478,492,0.10852156503749821,0.05418718727612193,0.09788291236866549,0.5871444884511605,-0.07028279811653926,492
1,2023-02-01,2023-12-01,A,42,430,90626.42788904964,67138.04818708671,40817.677683558795,8568.225065895256,103397.66799947717,21531.84508519229,0.08799823345908098,0.061753606723979684,0.04002675462251303,0.007016701305760669,0.0952078257299305,0.013714421355419743,1.1639648780604261,1.0062004019842903,1.0555863047337448,1.0390353649757558,0.15776447607613586,0.049385902749454536,-0.12492951308467037,68.69643662644225,20.81264667948417,0.16396487806042614,0.08443915019598403,0.08338654562443304,1.0134882835383676,-0.0566189291229543,472,0.0062004019842902824,0.003305615015239516,0.05022030996115711,0.09078066904741912,-0.05694027365136278,472,0.05558630473374482,0.029303078543006844,0.03987668396215466,0.7441806031725366,-0.03000223183032047,472,0.03903536497575577,0.020654852771252896,0.1093919693664539,0.2409489841243586,-0.11326341034620935,472
1,2023-02-01,2023-12-01,B,42,430,90757.03447996825,68543.51188038383,41089.5331521479,7279.104774917887,103475.19275765501,18775.969972158637,0.08840144438308506,0.062251177304144964,0.04036506035903224,0.005594663784428151,0.09556651116262649,0.010384460444440077,1.1680074073475293,1.0087068609871788,1.0570754989142441,1.0457562446177162,0.15930054636035051,0.04836863792706536,-0.12225116272981307,69.63686626808445,23.25753707506363,0.16800740734752928,0.08644836312472925,0.08281873586812341,1.0422125979165924,-0.059734193006780956,472,0.008706860987178766,0.0046391856233534146,0.05010462393274302,0.11738538338885464,-0.057259256710653905,472,0.05707549891424413,0.0300781052777781,0.03965565601772994,0.7670877843668753,-0.032050361212326406,472,0.04575624461771621,0.02417434591335854,0.1089212322076893,0.27311190939768015,-0.11375435218128982,472
2,2023-03-01,2024-01-01,A,106,342,89436.35570156667,91563.11256801547,56111.301204529285,11281.647116616245,156183.75404098837,26007.528529558276,0.08380804463241982,0.08156534176565067,0.05293431436817105,0.009037006932414387,0.13116460584998507,0.01497455847698207,1.2088753102332075,1.0278758419636265,1.0952687902847704,1.0266840276626603,0.18099946826958102,0.06739294832114395,-0.18219128257054718,62.766217511330616,-0.6584628741511347,0.2088753102332075,0.11260138982023848,0.082610712174945,1.332533127582587,-0.05119020939955299,448,0.02787584196362647,0.015585801844714142,0.056492157464657196,0.30197077936105016,-0.06732359884777561,448,0.09526879028477042,0.05252010612166669,0.03825473253494352,1.3571614701931325,-0.020192274090013673,448,0.026684027662660315,0.014923253944238324,0.15865319734261177,0.17571805169600366,-0.20787890522679542,448
2,2023-03-01,2024-01-01,B,106,342,88985.0971296907,88537.55306962435,55875.60194469,10203.998168208669,154780.61438631627,22838.691975133035,0.08403836849470325,0.0783764670609163,0.052958107665065264,0.007819994860690318,0.13115298575669615,0.011065670473693064,1.2052086809300742,1.027686030730763,1.0937656308436583,1.027589374568624,0.17752265019931124,0.06607960011289538,-0.17761930636145018,62.77680620545865,-0.05444722801874704,0.20520868093007416,0.11070190382752743,0.08179051653299114,1.324167653104005,-0.050959750898283085,448,0.027686030730762923,0.015480305371055936,0.05633080343137766,0.30083027919640615,-0.06743373653035889,448,0.0937656308436583,0.05170733603405542,0.03795439081197174,1.3472405405655439,-0.020142005945598784,448,0.02758937456862398,0.015426580910822496,0.158199876521434,0.17892783999882655,-0.2079729374536451,448
3,2023-04-01,2024-02-01,A,62,368,29048.486386214965,70621.26936101692,11269.427705363418,6350.955325042784,14674.597198216474,15643.699973359538,0.027517970058501446,0.06506656525895844,0.010157267693271863,0.005606464828198475,0.011453686463416053,0.012976876293244309,1.1722225534543411,1.072552797707107,1.0901731807375132,1.1419042562827653,0.09966975574723413,0.01762038303040625,-0.03031829717157586,82.32123386045798,69.58124664370195,0.17222255345434112,0.09759750840795567,0.08650588602826968,1.119291728722182,-0.047043046639273056,430,0.07255279770710699,0.04190173525177676,0.05549610239396903,0.7670174467669238,-0.031303706954716404,430,0.09017318073751324,0.05189914796075401,0.0493107145540807,1.050578148920657,-0.0288988634244699,430,0.14190425628276526,0.08087053961950419,0.09837263958147471,0.8387278921009681,-0.059644079558895946,430
3,2023-04-01,2024-02-01,B,62,368,28628.817432908225,74967.78162991919,10839.370546354758,4598.60060525827,13996.395431603181,12098.052416004779,0.027116460194647692,0.06837364907632415,0.009777963501696602,0.003928647641101648,0.010885826116693175,0.009719418205534174,1.180517084749401,1.0769204856865715,1.0923584568381834,1.1544226369017907,0.10359659906282959,0.01543797115161194,-0.02609444784761039,85.09799424762093,74.81148214934686,0.1805170847494011,0.10214239006498627,0.08568713647945235,1.1774006485894541,-0.04679781210492173,430,0.0769204856865715,0.04438616242376603,0.05509713818905166,0.8154043224405962,-0.031235798088710354,430,0.09235845683818344,0.053134347040324936,0.048916454345520076,1.0826450319939607,-0.028956205794324563,430,0.1544226369017907,0.08779909589289603,0.09748608234542307,0.9110270550796006,-0.0593545740905862,430
4,2023-05-01,2024-03-01,A,42,368,92062.63579915569,80949.22534960369,41176.40506570439,8070.901230689533,105537.67410776194,18405.03037184978,0.08799823345908082,0.07336452727882728,0.04002923282658588,0.006507918793982358,0.09508137472832201,0.010643485619634196,1.1880552854851798,1.015043424336421,1.0642907306328147,1.0641125810055685,0.17301186114875877,0.04924730629639362,-0.12394270447961131,71.53530054563723,28.36172985097068,0.1880552854851798,0.11172445976425949,0.08815304471469088,1.2452476567277955,-0.05541041768724153,410,0.01504342433642103,0.009219585662114005,0.05326321536554503,0.19888603409016203,-0.056940273651361895,410,0.06429073063281465,0.03903977265024339,0.04243422106988277,0.9237033492817901,-0.02923428057924493,410,0.06411258100556849,0.038932870238687745,0.11555165669617624,0.3876211242485375,-0.11289092859777061,410
4,2023-05-01,2024-03-01,B,42,368,92810.22906297236,87691.47345119342,41621.105983644455,7396.780072922093,106509.50700959332,16713.101922414557,0.08840144438223052,0.07814203883546117,0.04036495690324528,0.0056471876249488216,0.09547413833121234,0.008200618386693309,1.2022581440273346,1.0217564415131695,1.070774327569737,1.0790355350953247,0.18050170251416509,0.04901788605656754,-0.12322260893200987,72.84353256849708,31.733270536692125,0.20225814402733455,0.11987444673247794,0.08723980350724807,1.341111549461237,-0.05542154051878878,410,0.021756441513169467,0.013316750113105513,0.05307517747303999,0.275740885228193,-0.05725925657269637,410,0.070774327569737,0.04292571125976408,0.04209204643583863,1.0195662892965514,-0.029300391501234202,410,0.07903553509532468,0.04786394722990761,0.11491741915613919,0.46360475944420215,-0.1134818722506552,410
