window,mechanism,hr_bucket,trade_count,win_rate,average_abs_hr_entry,average_v1_gross_v2_gross_ratio,median_v1_gross_v2_gross_ratio,v1_raw_dollar_pnl_total,v2_raw_dollar_pnl_total,v1_total_pnl_contribution,v2_total_pnl_contribution,v1_minus_v2_contribution
historical,A,HR < 0.5,411,0.5790754257907542,0.34370052330933937,1.343858612721128,1.3664765606804326,238961.92949342728,166918.3488588333,43450.46334929683,32432.42969946572,11018.033649831088
historical,A,0.5 <= HR < 1.0,727,0.530949105914718,0.7507342900005857,1.7511104192664502,1.7583274439777503,206986.2212650776,132023.40843176842,147063.1212381173,71465.4097136195,75597.71152449779
historical,A,1.0 <= HR < 1.5,376,0.5478723404255319,1.185141135008992,2.185715463339718,2.1655612567202693,231183.7994093299,105779.0432870388,145153.95061556267,60619.23654460938,84534.71407095328
historical,A,1.5 <= HR <= 2.0,96,0.53125,1.6883786718808336,2.6893147380894136,2.656273502506557,-129446.08868956566,-50311.037897348404,-19716.785125095208,-1140.6472954390847,-18576.137829656145
historical,A,HR > 2.0,58,0.6379310344827587,3.080030056408297,4.081799429234641,3.684040042754013,332069.29337596893,91393.15750217438,228538.0270339665,55432.12119654466,173105.90583742183
historical,B,HR < 0.5,411,0.5790754257907542,0.34370052330933937,1.343858612721128,1.3664765606804326,238961.92949342728,166918.3488588333,47265.799797523534,34999.01337068908,12266.786426834482
historical,B,0.5 <= HR < 1.0,727,0.530949105914718,0.7507342900005857,1.7511104192664502,1.7583274439777503,206986.2212650776,132023.40843176842,132991.08331413282,64093.0387584815,68898.04455565132
historical,B,1.0 <= HR < 1.5,376,0.5478723404255319,1.185141135008992,2.185715463339718,2.1655612567202693,231183.7994093299,105779.0432870388,146241.2018575898,60570.777135003285,85670.42472258653
historical,B,1.5 <= HR <= 2.0,96,0.53125,1.6883786718808336,2.6893147380894136,2.656273502506557,-129446.08868956566,-50311.037897348404,-18184.998719127732,-1109.6882062372679,-17075.31051289045
historical,B,HR > 2.0,58,0.6379310344827587,3.080030056408297,4.081799429234641,3.684040042754013,332069.29337596893,91393.15750217438,217435.72150318074,52531.70682295593,164904.01468022482
historical,pair_level,HR < 0.5,411,0.5790754257907542,0.34370052330933937,1.343858612721128,1.3664765606804326,238961.92949342728,166918.3488588333,238961.92949342728,166918.3488588333,72043.58063459396
historical,pair_level,0.5 <= HR < 1.0,727,0.530949105914718,0.7507342900005857,1.7511104192664502,1.7583274439777503,206986.2212650776,132023.40843176842,206986.2212650776,132023.40843176842,74962.81283330916
historical,pair_level,1.0 <= HR < 1.5,376,0.5478723404255319,1.185141135008992,2.185715463339718,2.1655612567202693,231183.7994093299,105779.0432870388,231183.7994093299,105779.0432870388,125404.75612229109
historical,pair_level,1.5 <= HR <= 2.0,96,0.53125,1.6883786718808336,2.6893147380894136,2.656273502506557,-129446.08868956566,-50311.037897348404,-129446.08868956566,-50311.037897348404,-79135.05079221725
historical,pair_level,HR > 2.0,58,0.6379310344827587,3.080030056408297,4.081799429234641,3.684040042754013,332069.29337596893,91393.15750217438,332069.29337596893,91393.15750217438,240676.13587379456
recent,A,HR < 0.5,781,0.5300896286811779,0.3379437911199118,1.3381976956421653,1.3334254848526803,572559.9691476822,458692.4228954315,200104.4028311628,22306.5553152047,177797.84751595813
recent,A,0.5 <= HR < 1.0,1239,0.48426150121065376,0.7329731554818878,1.7339303516032853,1.725245707786424,257590.18356895447,164023.4043865204,-110605.13410391439,-98556.29752976104,-12048.836574153309
