window,mechanism,outcome,trade_count,average_abs_hr_entry,median_abs_hr_entry,average_v1_gross_v2_gross_ratio,median_v1_gross_v2_gross_ratio,v1_raw_dollar_pnl_total,v2_raw_dollar_pnl_total,v1_replay_contribution_total,v2_replay_contribution_total,contribution_difference_total
historical,A,losing_trade,750,0.8818442274111105,0.799150661823107,1.8822785874496453,1.7989521499954972,-6256592.70140332,-3386164.2573339343,-1648333.3990881396,-787138.8354178275,-861194.5636703123
historical,A,winning_trade,918,0.884532392034699,0.7796106547192445,1.884991089341815,1.7798825363822062,7136347.856257558,3831967.177516401,2192822.1761999875,1005947.3852766275,1186874.7909233603
historical,B,losing_trade,750,0.8818442274111105,0.799150661823107,1.8822785874496453,1.7989521499954972,-6256592.70140332,-3386164.2573339343,-1641237.9737427405,-784579.9394543043,-856658.0342884362
historical,B,winning_trade,918,0.884532392034699,0.7796106547192445,1.884991089341815,1.7798825363822062,7136347.856257558,3831967.177516401,2166986.78149604,995664.7873351969,1171321.9941608428
historical,pair_level,losing_trade,750,0.8818442274111105,0.799150661823107,1.8822785874496453,1.7989521499954972,-6256592.70140332,-3386164.2573339343,-6256592.70140332,-3386164.2573339343,-2870428.4440693855
historical,pair_level,winning_trade,918,0.884532392034699,0.7796106547192445,1.884991089341815,1.7798825363822062,7136347.856257558,3831967.177516401,7136347.856257558,3831967.177516401,3304380.678741157
recent,A,losing_trade,1335,0.7799328007252221,0.7402337958894609,1.7807655759218814,1.7402189164879254,-12064079.839042664,-6829038.334529877,-3200810.054557869,-1798292.1661594948,-1402517.8883983747
recent,A,winning_trade,1593,0.8549849514362213,0.7754611318719561,1.8559258427728826,1.7756867542883197,15943623.834708214,8677219.32788372,4066721.1773580206,1971181.0930047529,2095540.0843532677
recent,B,losing_trade,1335,0.7799328007252221,0.7402337958894609,1.7807655759218814,1.7402189164879254,-12064079.839042664,-6829038.334529877,-3141648.634844574,-1777705.6730442094,-1363942.9618003645
recent,B,winning_trade,1593,0.8549849514362213,0.7754611318719561,1.8559258427728826,1.7756867542883197,15943623.834708214,8677219.32788372,4041802.806801871,1970736.862646823,2071065.9441550476
recent,pair_level,losing_trade,1335,0.7799328007252221,0.7402337958894609,1.7807655759218814,1.7402189164879254,-12064079.839042664,-6829038.334529877,-12064079.839042664,-6829038.334529877,-5235041.504512787
recent,pair_level,winning_trade,1593,0.8549849514362213,0.7754611318719561,1.8559258427728826,1.7756867542883197,15943623.834708214,8677219.32788372,15943623.834708214,8677219.32788372,7266404.506824493
