mechanism,diagnostic,recent,historical
A,V1 Sharpe,1.0936916085691977,1.1222203409030458
A,V2 Sharpe,0.3723888589119787,1.0225525213643203
A,V1 return,0.09446193015371311,0.09098047531941122
A,V2 return,0.01918518619565681,0.04043372923994992
A,V1 volatility,0.08603093314998785,0.08046115027337992
A,V2 volatility,0.05382488109946597,0.039526709261098594
A,Sharpe change,-0.721302749657219,-0.0996678195387255
A,Return change,-0.07527674395805631,-0.0505467460794613
A,Volatility change,-0.03220605205052188,-0.04093444101228133
A,Weight-flip months,15.0,4.0
A,Mean abs A-weight difference,0.06545454545454546,0.02666666666666667
A,Avg HR winners,0.8549849514362213,0.884532392034699
A,Avg HR losers,0.7799328007252221,0.8818442274111105
A,V1/V2 gross ratio winners,1.8559258427728826,1.884991089341815
A,V1/V2 gross ratio losers,1.7807655759218814,1.8822785874496453
A,Top-10-trade share of V1 advantage,19.287511507252173,68.72342174704372
B,V1 Sharpe,1.1412630170346794,1.0962936288662382
B,V2 Sharpe,0.41544221480841265,0.993131478411063
B,V1 return,0.0981161574139433,0.08831583709730029
B,V2 return,0.021420378118791116,0.03910960856678125
B,V1 volatility,0.08525146343180103,0.08010529325813628
B,V2 volatility,0.05357910884491727,0.039410517330916606
B,Sharpe change,-0.7258208022262667,-0.10316215045517518
B,Return change,-0.07669577929515219,-0.049206228530519036
B,Volatility change,-0.03167235458688376,-0.04069477592721968
B,Weight-flip months,15.0,4.0
B,Mean abs A-weight difference,0.06545454545454546,0.02666666666666667
B,Avg HR winners,0.8549849514362213,0.884532392034699
B,Avg HR losers,0.7799328007252221,0.8818442274111105
B,V1/V2 gross ratio winners,1.8559258427728826,1.884991089341815
B,V1/V2 gross ratio losers,1.7807655759218814,1.8822785874496453
B,Top-10-trade share of V1 advantage,18.673390824887637,70.80291722387548
