mechanism,direction,day_rank,date,mean_v1_total_return,mean_v2_total_return,mean_return_difference,coverage_starts,trade_rank,leg,pair,fold_id,entry_date,exit_date,exit_reason,mean_v1_trade_day_pnl,mean_v2_trade_day_pnl,mean_trade_difference
A,v1_outperformed,1,2025-04-09,0.06250465410959335,0.039288932716105264,0.02321572139348809,5,1,A,CME-MA,12,2025-04-04,2025-04-09,signal,6147.1653271589,500.37892239018,5646.78640476872
A,v1_outperformed,1,2025-04-09,0.06250465410959335,0.039288932716105264,0.02321572139348809,5,2,A,CME-MA,10,2025-04-04,2025-04-09,signal,6046.549371231189,502.59827238711694,5543.9510988440725
A,v1_outperformed,1,2025-04-09,0.06250465410959335,0.039288932716105264,0.02321572139348809,5,3,A,IVZ-MET,12,2025-04-04,2025-04-09,signal,5938.7864997969355,505.4987082610729,5433.287791535862
A,v1_outperformed,1,2025-04-09,0.06250465410959335,0.039288932716105264,0.02321572139348809,5,4,A,CME-MA,13,2025-04-04,2025-04-09,signal,5923.942418805269,498.2196540439981,5425.722764761271
A,v1_outperformed,1,2025-04-09,0.06250465410959335,0.039288932716105264,0.02321572139348809,5,5,A,IVZ-MET,10,2025-04-04,2025-04-09,signal,5841.581259832481,507.7407662423962,5333.840493590084
A,v1_outperformed,2,2024-01-05,0.021754160867188056,0.005837365228662852,0.015916795638525202,1,1,A,ELV-KEY,0,2024-01-02,2024-01-17,max_holding_loss,6362.37107849121,1608.4633808135986,4753.907697677611
A,v1_outperformed,2,2024-01-05,0.021754160867188056,0.005837365228662852,0.015916795638525202,1,2,A,ELV-TFC,0,2024-01-02,2024-01-17,max_holding_loss,5306.905641555786,1491.4236469268797,3815.4819946289062
A,v1_outperformed,2,2024-01-05,0.021754160867188056,0.005837365228662852,0.015916795638525202,1,3,A,ELV-USB,0,2024-01-02,2024-01-17,stop_loss,4901.754426956176,1382.8961410522463,3518.8582859039298
A,v1_outperformed,2,2024-01-05,0.021754160867188056,0.005837365228662852,0.015916795638525202,1,4,A,ELV-HBAN,0,2024-01-02,2024-01-17,max_holding_loss,5039.342926979065,1722.4776196479797,3316.865307331085
A,v1_outperformed,2,2024-01-05,0.021754160867188056,0.005837365228662852,0.015916795638525202,1,5,A,FFIV-IBM,0,2024-01-04,2024-01-09,signal,1082.2715530395508,542.765022277832,539.5065307617188
A,v1_outperformed,3,2025-05-02,0.014064596172206914,0.002615765878689425,0.01144883029351749,5,1,A,LII-MSI,10,2025-04-23,2025-05-02,signal,6612.124298311286,445.90042060049706,6166.223877710789
A,v1_outperformed,3,2025-05-02,0.014064596172206914,0.002615765878689425,0.01144883029351749,5,2,A,LII-MSI,13,2025-04-23,2025-05-02,signal,6600.100316254535,442.97359313254105,6157.126723121994
A,v1_outperformed,3,2025-05-02,0.014064596172206914,0.002615765878689425,0.01144883029351749,5,3,A,LII-MSI,12,2025-04-23,2025-05-02,signal,6657.403752541552,1343.2174314699378,5314.186321071615
A,v1_outperformed,3,2025-05-02,0.014064596172206914,0.002615765878689425,0.01144883029351749,5,4,A,LII-MSI,11,2025-04-23,2025-05-02,signal,6602.390126906344,1344.2019246043785,5258.188202301965
A,v1_outperformed,3,2025-05-02,0.014064596172206914,0.002615765878689425,0.01144883029351749,5,5,A,LII-MSI,14,2025-04-23,2025-05-02,signal,6424.475600152713,1319.9544838696916,5104.521116283021
A,v1_outperformed,4,2024-01-12,0.014909544429173461,0.004764650571551614,0.010144893857621847,1,1,A,ELV-KEY,0,2024-01-02,2024-01-17,max_holding_loss,3920.2967376708984,990.9778537750245,2929.318883895874
A,v1_outperformed,4,2024-01-12,0.014909544429173461,0.004764650571551614,0.010144893857621847,1,2,A,ELV-USB,0,2024-01-02,2024-01-17,stop_loss,2867.182331085205,808.7645111083983,2058.4178199768066
A,v1_outperformed,4,2024-01-12,0.014909544429173461,0.004764650571551614,0.010144893857621847,1,3,A,ELV-TFC,0,2024-01-02,2024-01-17,max_holding_loss,2795.6948585510254,784.5586280822754,2011.13623046875
A,v1_outperformed,4,2024-01-12,0.014909544429173461,0.004764650571551614,0.010144893857621847,1,4,A,ELV-SRE,0,2024-01-11,2024-01-12,signal,2725.8435478210376,1393.34017944335,1332.5033683776876
A,v1_outperformed,4,2024-01-12,0.014909544429173461,0.004764650571551614,0.010144893857621847,1,5,A,ELV-HBAN,0,2024-01-02,2024-01-17,max_holding_loss,1666.0242872238157,568.3614287376403,1097.6628584861755
A,v1_outperformed,5,2025-02-26,0.018074458122054576,0.00890432896765575,0.009170129154398826,5,1,A,INTU-VTRS,10,2025-02-21,2025-02-26,signal,13486.585405562118,5872.768407387689,7613.8169981744295
A,v1_outperformed,5,2025-02-26,0.018074458122054576,0.00890432896765575,0.009170129154398826,5,2,A,INTU-VTRS,8,2025-02-21,2025-02-26,signal,13368.356058510706,5910.067180921508,7458.288877589198
A,v1_outperformed,5,2025-02-26,0.018074458122054576,0.00890432896765575,0.009170129154398826,5,3,A,INTU-VTRS,9,2025-02-21,2025-02-26,signal,13229.80739584858,5920.931761181183,7308.875634667397
