fold,start,end,sharpe,trades
0,2016-03-01,2016-05-31,-0.06201780881733881,11
1,2016-06-01,2016-08-31,-0.0007181589694678065,3
2,2016-09-01,2016-11-30,0.11063183456296563,6
3,2016-12-01,2017-02-28,0.11520052804660418,8
4,2017-03-01,2017-05-31,-0.12312227471093609,7
5,2017-06-01,2017-08-31,0.043250267462637736,12
6,2017-09-01,2017-11-30,0.16714132913093546,9
7,2017-12-01,2018-02-28,-0.041209506166556886,5
8,2018-03-01,2018-05-31,-0.06662501903169378,9
9,2018-06-01,2018-08-31,-0.1544407906927967,9
10,2018-09-01,2018-11-30,-0.24426815653130157,5
