Winner,F11 Trades,Win Rate,Avg Hold,Sharpe (Ann),Signal,Stop Loss,Guard Trip,Timeout,Max Loss Exit
Fold 0,15,0.2,7.47,-5.7221,3,9,1,1,1
Fold 1,15,0.2,7.47,-5.7221,3,9,1,1,1
Fold 2,11,0.4545,10.73,-0.3049,5,2,0,2,2
Fold 3,11,0.4545,10.73,-0.3049,5,2,0,2,2
Fold 4,13,0.5385,9.38,0.3596,7,2,0,2,2
Fold 5,9,0.3333,9.0,-3.6311,2,5,1,1,0
Fold 6,6,0.1667,6.67,-0.7728,1,1,3,0,1
Fold 7,12,0.1667,5.92,-5.706,1,6,5,0,0
Fold 8,16,0.4375,8.38,-1.5585,7,4,2,1,2
Fold 9,8,0.5,7.38,-1.9195,3,3,2,0,0
Fold 10,4,0.25,10.25,-2.8138,0,1,2,0,1
Fold 11,13,0.5385,10.77,0.9894,7,2,0,2,2
Fold 12,14,0.4286,8.57,-1.8553,5,4,3,0,2
Fold 13,9,0.3333,9.0,-3.6311,2,5,1,1,0
Fold 14,9,0.3333,6.33,-5.8128,1,5,3,0,0
