winner_fold,fold_start,fold_end,entry_z,exit_z,resid_val,home_sharpe,home_stop_loss_rate,home_avg_mfe,home_avg_mae,home_win_rate,home_total_trades,home_avg_holding_days,away_sharpe_mean,away_sharpe_std,away_stop_loss_rate_mean,away_avg_mfe_mean,away_win_rate_mean,away_positive_folds,away_negative_folds
fold_0,2020-03-01,2020-05-31,1.8,1.4,60,0.3053,0.0435,0.0975,0.2924,0.6522,46,4.39,0.0369,0.1477,0.2059,0.0711,0.5471,9,5
fold_1,2020-06-01,2020-08-31,1.8,1.4,60,0.2374,0.0952,-0.4229,-0.6134,0.5,42,5.43,0.0417,0.1557,0.2022,0.1083,0.558,9,5
fold_10,2022-09-01,2022-11-30,2.2,0.6,45,0.2562,0.0,0.7863,0.1487,0.5,4,7.0,0.0708,0.1365,0.1012,0.0226,0.5369,10,4
fold_11,2022-12-01,2023-02-28,2.2,1.0,90,0.0623,0.1538,0.3767,1.6944,0.5385,26,10.77,0.11,0.1151,0.1821,0.1713,0.5756,12,2
fold_12,2023-03-01,2023-05-31,1.8,1.0,90,0.1,0.1333,0.1893,-0.2246,0.5,28,6.2,0.0777,0.1332,0.1632,0.0068,0.5458,9,5
fold_13,2023-06-01,2023-08-31,2.2,0.6,60,0.394,0.0,0.051,1.374,0.9,10,6.0,0.0723,0.1687,0.1927,-0.0352,0.5219,10,4
fold_14,2023-09-01,2023-11-30,2.2,1.0,60,0.1493,0.0,-0.5203,-1.9515,0.625,8,10.0,0.0573,0.182,0.1882,-0.0431,0.5152,10,4
fold_2,2020-09-01,2020-11-30,2.2,0.6,90,0.1861,0.2222,0.1458,0.4475,0.6667,18,7.67,0.095,0.1268,0.1751,0.0199,0.5584,9,5
fold_3,2020-12-01,2021-02-28,2.2,0.6,90,0.269,0.25,0.6963,-2.6032,0.75,16,8.38,0.0891,0.1198,0.1731,-0.0195,0.5525,9,5
fold_4,2021-03-01,2021-05-31,2.2,1.4,90,0.2522,0.0,0.439,1.0249,0.5625,16,8.75,0.0851,0.1094,0.1931,0.2329,0.5793,10,4
fold_5,2021-06-01,2021-08-31,2.2,0.6,60,0.2091,0.2,-0.8232,-2.0633,0.4,10,6.4,0.0856,0.1865,0.1785,0.0273,0.5576,10,4
fold_6,2021-09-01,2021-11-30,1.8,1.0,30,0.2571,0.0,-0.9266,-0.8443,0.625,8,2.0,0.0241,0.1045,0.1637,-0.0461,0.5388,9,5
fold_7,2021-12-01,2022-02-28,1.8,0.6,60,0.3427,0.1333,0.1765,-0.0315,0.5714,28,6.87,0.045,0.1484,0.1817,0.0705,0.5303,10,4
fold_8,2022-03-01,2022-05-31,1.8,1.0,90,0.4081,0.0,0.147,1.4411,0.6333,30,6.4,0.0594,0.1325,0.197,-0.0036,0.5343,9,5
fold_9,2022-06-01,2022-08-31,2.2,0.6,30,0.3078,0.1667,-0.8239,-2.1233,0.5,12,6.33,0.0227,0.0928,0.2419,-0.1935,0.5521,10,4
