Reason,Count,Frequency (%),Win Rate (%),Avg Return (%),Regime
signal,60,55.6,100.0,4.152859553363584,In-Sample (2020-2024)
guard_trip,1,0.9,100.0,4.40929443359375,In-Sample (2020-2024)
stop_loss,20,18.5,5.0,-4.176400800069169,In-Sample (2020-2024)
timeout,13,12.0,46.15384615384615,0.15004021481571,In-Sample (2020-2024)
,14,13.0,0.0,-1.4674693034944013,In-Sample (2020-2024)
signal,21,55.3,100.0,4.420742463308662,Recovery (2024-2025)
guard_trip,5,13.2,40.0,-1.179909350077312,Recovery (2024-2025)
stop_loss,8,21.1,0.0,-6.5572462389204205,Recovery (2024-2025)
timeout,1,2.6,100.0,4.40389885796441,Recovery (2024-2025)
,3,7.9,0.0,-2.3853838592105365,Recovery (2024-2025)
signal,27,41.5,100.0,3.440199945885454,Stress (2018-2020)
guard_trip,4,6.2,25.0,-1.0066631995307052,Stress (2018-2020)
stop_loss,23,35.4,0.0,-3.766124820709224,Stress (2018-2020)
timeout,4,6.2,0.0,-1.75454183472527,Stress (2018-2020)
,7,10.8,0.0,-2.1642148441738485,Stress (2018-2020)
