selected_book_origin,selected_book,window,start_index,start_A,start_B,mechanism,comparison,different_weight_days,identical_weight_days,mean_abs_daily_weight_difference,arithmetic_return_gap_different_weight_days,arithmetic_return_gap_identical_weight_days,arithmetic_return_gap_total,pnl_gap_different_weight_days,pnl_gap_identical_weight_days,pnl_gap_total,log_equity_gap_different_weight_days,log_equity_gap_identical_weight_days,log_equity_gap_total,final_equity_gap,different_weight_share_of_arithmetic_gap,identical_weight_share_of_arithmetic_gap,different_weight_share_of_log_gap,identical_weight_share_of_log_gap,allocator_months,allocator_different_months,allocator_identical_months,allocator_different_month_fraction,allocator_mean_abs_a_weight_difference,allocator_max_abs_a_weight_difference,allocator_largest_difference_month,allocator_largest_difference,daily_different_weight_days,daily_identical_weight_days,daily_different_weight_fraction,daily_mean_abs_weight_difference,daily_max_abs_weight_difference
v1_selected,old_v1_winner,recent,0,2023-01-01,2023-11-01,A,actual_v1_minus_v2,62,430,0.05040650406504065,0.027517970058501238,0.05219355870950287,0.07971152876800411,27919.982029698906,53656.652683478664,81576.63471317757,0.026143677320892407,0.0485946438697208,0.07473832119061322,81576.63471317757,0.3452194492291163,0.6547805507708837,0.3498028441689955,0.6501971558310045,24,3,21,0.125,0.05000000000000001,0.4,2025-04-01,0.4,62,430,0.12601626016260162,0.05040650406504065,0.4
v1_selected,old_v1_winner,recent,0,2023-01-01,2023-11-01,A,v1_matched_to_v2_minus_v2,62,430,0.05040650406504065,0.010056364652979377,0.00991283618676698,0.019969200839746355,11045.244517198433,10701.127337670423,21746.37185486885,0.010530989785612373,0.009944806861384999,0.020475796646997373,21746.371854869183,0.5035937458730627,0.49640625412693734,0.5143140443894116,0.48568595561058825,24,3,21,0.125,0.05000000000000001,0.4,2025-04-01,0.4,62,430,0.12601626016260162,0.05040650406504065,0.4
v1_selected,old_v1_winner,recent,0,2023-01-01,2023-11-01,B,actual_v1_minus_v2,62,430,0.05040650406504065,0.02711646019465233,0.05609021162062924,0.08320667181528157,27594.371736303787,58607.11248172342,86201.48421802721,0.02574464470768083,0.05258477267313054,0.07832941738081137,86201.48421802721,0.3258928593472738,0.6741071406527261,0.3286714693985147,0.6713285306014853,24,3,21,0.125,0.05000000000000001,0.4,2025-04-01,0.4,62,430,0.12601626016260162,0.05040650406504065,0.4
v1_selected,old_v1_winner,recent,0,2023-01-01,2023-11-01,B,v1_matched_to_v2_minus_v2,62,430,0.05040650406504065,0.009656464565731371,0.009051576954617998,0.01870804152034937,10648.54413397142,9872.933904435075,20521.478038406498,0.010131689825357917,0.009079772866589501,0.019211462691947408,20521.478038406465,0.5161665134871392,0.4838334865128609,0.5273773261212782,0.47262267387872237,24,3,21,0.125,0.05000000000000001,0.4,2025-04-01,0.4,62,430,0.12601626016260162,0.05040650406504065,0.4
v1_selected,old_v1_winner,recent,1,2023-02-01,2023-12-01,A,actual_v1_minus_v2,42,430,0.05338983050847458,0.08799823345908098,0.061753606723979684,0.14975184018306065,90626.42788904964,67138.04818708671,157764.47607613634,0.0868042311776926,0.05884668560637274,0.14565091678406536,157764.47607613634,0.5876270592168322,0.41237294078316783,0.595974492260726,0.4040255077392739,23,2,21,0.08695652173913043,0.05217391304347827,0.8,2025-04-01,0.8,42,430,0.08898305084745763,0.05338983050847458,0.8
v1_selected,old_v1_winner,recent,1,2023-02-01,2023-12-01,A,v1_matched_to_v2_minus_v2,42,430,0.05338983050847458,0.04002675462251303,0.007016701305760669,0.0470434559282737,40817.677683558795,8568.225065895256,49385.90274945406,0.040775111730346994,0.007139981333678646,0.04791509306402564,49385.90274945297,0.850846389422178,0.14915361057782203,0.8509868002523134,0.14901319974768662,23,2,21,0.08695652173913043,0.05217391304347827,0.8,2025-04-01,0.8,42,430,0.08898305084745763,0.05338983050847458,0.8
v1_selected,old_v1_winner,recent,1,2023-02-01,2023-12-01,B,actual_v1_minus_v2,42,430,0.05338983050847458,0.08840144438308506,0.062251177304144964,0.15065262168723004,90757.03447996825,68543.51188038383,159300.54636035208,0.08719216677527711,0.05943788465084129,0.1466300514261184,159300.54636035208,0.5867899502380737,0.4132100497619262,0.5946404978191671,0.40535950218083294,23,2,21,0.08695652173913043,0.05217391304347827,0.8,2025-04-01,0.8,42,430,0.08898305084745763,0.05338983050847458,0.8
v1_selected,old_v1_winner,recent,1,2023-02-01,2023-12-01,B,v1_matched_to_v2_minus_v2,42,430,0.05338983050847458,0.04036506035903224,0.005594663784428151,0.045959724143460404,41089.5331521479,7279.104774917887,48368.63792706578,0.04112789165868203,0.005709065355876984,0.04683695701455901,48368.63792706514,0.8782702923332445,0.1217297076667553,0.8781076799224521,0.12189232007754801,23,2,21,0.08695652173913043,0.05217391304347827,0.8,2025-04-01,0.8,42,430,0.08898305084745763,0.05338983050847458,0.8
v1_selected,old_v1_winner,recent,2,2023-03-01,2024-01-01,A,actual_v1_minus_v2,106,342,0.11339285714285714,0.08380804463241982,0.08156534176565067,0.16537338639807048,89436.35570156667,91563.11256801547,180999.46826958214,0.08266652987890756,0.07952951836677892,0.16219604824568648,180999.46826958214,0.5067807248663662,0.4932192751336339,0.5096704313886146,0.4903295686113855,22,5,17,0.22727272727272727,0.10909090909090911,0.8,2025-04-01,0.8,106,342,0.23660714285714285,0.11339285714285714,0.8
v1_selected,old_v1_winner,recent,2,2023-03-01,2024-01-01,A,v1_matched_to_v2_minus_v2,106,342,0.11339285714285714,0.05293431436817105,0.009037006932414387,0.06197132130058544,56111.301204529285,11281.647116616245,67392.94832114552,0.05438628775487556,0.009119132531361276,0.06350542028623683,67392.94832114596,0.8541743706160253,0.14582562938397467,0.8564038708781271,0.143596129121873,22,5,17,0.22727272727272727,0.10909090909090911,0.8,2025-04-01,0.8,106,342,0.23660714285714285,0.11339285714285714,0.8
v1_selected,old_v1_winner,recent,2,2023-03-01,2024-01-01,B,actual_v1_minus_v2,106,342,0.11339285714285714,0.08403836849470325,0.0783764670609163,0.16241483555561956,88985.0971296907,88537.55306962435,177522.65019931505,0.0829124367188752,0.07643059161859564,0.15934302833747083,177522.65019931505,0.5174303702442503,0.48256962975574974,0.5203392805066807,0.4796607194933194,22,5,17,0.22727272727272727,0.10909090909090911,0.8,2025-04-01,0.8,106,342,0.23660714285714285,0.11339285714285714,0.8
v1_selected,old_v1_winner,recent,2,2023-03-01,2024-01-01,B,v1_matched_to_v2_minus_v2,106,342,0.11339285714285714,0.052958107665065264,0.007819994860690318,0.060778102525755565,55875.60194469,10203.998168208669,66079.60011289867,0.05442041962071105,0.007896327217474453,0.06231674683818551,66079.60011289711,0.8713353241428281,0.12866467585717217,0.8732872362869258,0.12671276371307402,22,5,17,0.22727272727272727,0.10909090909090911,0.8,2025-04-01,0.8,106,342,0.23660714285714285,0.11339285714285714,0.8
v1_selected,old_v1_winner,recent,3,2023-04-01,2024-02-01,A,actual_v1_minus_v2,62,368,0.057674418604651154,0.027517970058501446,0.06506656525895844,0.0925845353174599,29048.486386214965,70621.26936101692,99669.75574723189,0.026143677320892626,0.06271628859292491,0.08885996591381753,99669.75574723189,0.29721994028642074,0.7027800597135792,0.2942121016144498,0.7057878983855503,21,3,18,0.14285714285714285,0.05714285714285715,0.4,2025-04-01,0.4,62,368,0.14418604651162792,0.057674418604651154,0.4
v1_selected,old_v1_winner,recent,3,2023-04-01,2024-02-01,A,v1_matched_to_v2_minus_v2,62,368,0.057674418604651154,0.010157267693271863,0.005606464828198475,0.01576373252147034,11269.427705363418,6350.955325042784,17620.383030406203,0.010623081226219846,0.005671884565399566,0.01629496579161941,17620.3830304055,0.6443440777390491,0.35565592226095066,0.6519241195144672,0.34807588048553295,21,3,18,0.14285714285714285,0.05714285714285715,0.4,2025-04-01,0.4,62,368,0.14418604651162792,0.057674418604651154,0.4
v1_selected,old_v1_winner,recent,3,2023-04-01,2024-02-01,B,actual_v1_minus_v2,62,368,0.057674418604651154,0.027116460194647692,0.06837364907632415,0.09549010927097185,28628.817432908225,74967.78162991919,103596.59906282742,0.025744644707679006,0.06610233919716633,0.09184698390484533,103596.59906282742,0.28397140187262154,0.7160285981273784,0.2802992935984789,0.7197007064015212,21,3,18,0.14285714285714285,0.05714285714285715,0.4,2025-04-01,0.4,62,368,0.14418604651162792,0.057674418604651154,0.4
v1_selected,old_v1_winner,recent,3,2023-04-01,2024-02-01,B,v1_matched_to_v2_minus_v2,62,368,0.057674418604651154,0.009777963501696602,0.003928647641101648,0.013706611142798248,10839.370546354758,4598.60060525827,15437.971151613021,0.010242684853923396,0.003990829779370964,0.01423351463329436,15437.97115161363,0.7133757133567006,0.2866242866432995,0.7196174042610807,0.2803825957389192,21,3,18,0.14285714285714285,0.05714285714285715,0.4,2025-04-01,0.4,62,368,0.14418604651162792,0.057674418604651154,0.4
v1_selected,old_v1_winner,recent,4,2023-05-01,2024-03-01,A,actual_v1_minus_v2,42,368,0.06146341463414635,0.08799823345908082,0.07336452727882728,0.1613627607379081,92062.63579915569,80949.22534960369,173011.86114875937,0.08680423117769244,0.07058213110759329,0.15738636228528574,173011.86114875937,0.5453441243609553,0.4546558756390448,0.5515359140225067,0.44846408597749327,20,2,18,0.1,0.06000000000000001,0.8,2025-04-01,0.8,42,368,0.1024390243902439,0.06146341463414635,0.8
