selected_book_origin,selected_book,leg_a,leg_b,window,start_index,start_A,start_B,mechanism,case,sizing_mode,allocator_source,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,final_equity,rejected_entries
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,v1_sizing_v1_allocator,v1,v1,0.13279309556699048,0.0659471425801279,0.08949847720760064,0.757897246275056,-0.06680447491116259,1132793.0955669906,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,v2_sizing_v2_allocator,v2,v2,0.05121646085381304,0.025913193204439633,0.0536526203120015,0.5032893652943384,-0.03494429588939252,1051216.460853813,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,v1_sizing_v2_allocator,v1,v2,0.08706834061731006,0.04368773664120651,0.09450995560844536,0.49900818434434935,-0.06680447491116259,1087068.34061731,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,v2_sizing_v1_allocator,v2,v1,0.06628977928416835,0.03342167265859075,0.05128508773425026,0.6664018174078427,-0.03494429588939252,1066289.7792841683,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,B,v1_sizing_v1_allocator,v1,v1,0.14416285490296343,0.07141368331999565,0.08872112477119011,0.8214226361021085,-0.06456678984993802,1144162.8549029634,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,B,v2_sizing_v2_allocator,v2,v2,0.057961370684930236,0.02927948706267469,0.05328780119837403,0.5678502037880133,-0.03393253193989576,1057961.3706849301,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,B,v1_sizing_v2_allocator,v1,v2,0.10033198626789774,0.05019091269064346,0.09383495044862218,0.5681241337390336,-0.06456678984993802,1100331.9862678978,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,B,v2_sizing_v1_allocator,v2,v1,0.07249090724818275,0.03649560117737316,0.05090778210369037,0.729311908201101,-0.03393253193989576,1072490.9072481827,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,1,2023-02-01,2023-12-01,A,v1_sizing_v1_allocator,v1,v1,0.16396487806042614,0.08443915019598403,0.08338654562443304,1.0134882835383676,-0.0566189291229543,1163964.878060426,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,1,2023-02-01,2023-12-01,A,v2_sizing_v2_allocator,v2,v2,0.0062004019842902824,0.003305615015239516,0.05022030996115711,0.09078066904741912,-0.05694027365136278,1006200.4019842903,0
