Fold ID,IS Sharpe (Raw),IS Sharpe (Ann),OOS 18-20,OOS 24-25
Fold 0,0.0548,0.8695,-1.6862,1.1281
Fold 1,0.0548,0.8695,-1.6862,1.1281
Fold 2,0.1011,1.6051,0.0555,0.2115
Fold 3,0.1011,1.6051,0.0555,0.2115
Fold 4,0.0962,1.5275,-0.8659,0.2704
Fold 5,0.0938,1.4889,-1.2316,0.0121
Fold 6,0.0397,0.6296,0.4911,0.7805
Fold 7,0.0648,1.0293,-1.5428,1.7122
Fold 8,0.0826,1.3117,-0.7511,0.5948
Fold 9,0.0417,0.6624,-0.6558,1.7008
Fold 10,0.0831,1.3196,-0.869,1.0333
Fold 11,0.1068,1.6952,-0.5223,0.655
Fold 12,0.0792,1.2566,-1.2091,1.0081
Fold 13,0.0938,1.4889,-1.2316,0.0121
Fold 14,0.0634,1.0071,-0.6764,0.66
MEAN,,1.2244,-0.8217,0.7412
